授業科目名,担当者名,配当学年,開講期,曜時限,群,学科,前身科目
フランス語ＩＡ（演習） F1206,GRAZIANI，Jean-Francois Rene,,前期,火2,外国語群,,
中国語ＩＡ（演習） C1210,松江 崇,,前期,火2,外国語群,,
中国語ＩＡ（演習） C1211,黄 明月,,前期,火2,外国語群,,
スペイン語ＩＡ（文法） S1104,塚原 信行・柿原 武史,,前期,火2,外国語群,,
中国語IIＡC202,山田 晃三,,前期,火2,外国語群,,
イタリア語IIＡ（演習） I2202,"BERTELLI, GIULIO ANTONIO",,前期,火2,外国語群,,
スペイン語IIＡ S2101,塚原 信行,,前期,火2,外国語群,,
日本語中級Ｉ（会話）,大和 祐子,,前期,火2,外国語群,,
"自然現象と数学 1T1,1T2",高井 敦史・音田 慎一郎,,前期,火3,自然群,,
"自然現象と数学 1T3,1T4",浜 孝之・浅田 安廣,,前期,火3,自然群,,
"微分積分学Ａ 1T23,1T24",久保 雅義,,前期,火3・火4,自然群,,
微分積分学（講義・演義）Ａ 1T8,菊地 克彦,,前期,火3・金1,自然群,,
微分積分学（講義・演義）Ａ 1T11,菊地 克彦,,前期,火3・金2,自然群,,
微分積分学（講義・演義）Ａ 1T14,佐々木 建祀郎・跡部 発,,前期,火3・金1,自然群,,
微分積分学（講義・演義）Ａ 1T16,佐々木 建祀郎・跡部 発,,前期,火3・金2,自然群,,
線形代数学（講義・演義）Ａ 1T7,小菅 真吾・陽 煜,,前期,火3・金1,自然群,,
線形代数学（講義・演義）Ａ 1T9,宮川 明裕・髙尾 尚武,,前期,火3・金1,自然群,,
線形代数学（講義・演義）Ａ 1T10,小菅 真吾・陽 煜,,前期,火3・金2,自然群,,
線形代数学（講義・演義）Ａ 1T12,髙尾 尚武・宮川 明裕,,前期,火3・金2,自然群,,
線形代数学（講義・演義）Ａ 1T13,平川 亮太・美舩 健,,前期,火3・金1,自然群,,
線形代数学（講義・演義）Ａ 1T15,平川 亮太・美舩 健,,前期,火3・金2,自然群,,
Honors Mathematics B-E2,COLLINS，Benoit Vincent Pierre,,前期,火3,自然群,,
Mathematical Description of Natural Phenomena 1T25,CHANG，Kai-Chun,,前期,火3,自然群,,
Calculus-E2,Arseniy Aleksandrovich，Kuzmin,,前期,火3,自然群,,
"物理学実験 1S6,1S7,1S8,1A6",銭廣 十三,,前期,火3・火4,自然群,,
みんなの物理Ｉ,舟橋 春彦,,前期,火3,自然群,,
A Guide to Modern Physics A-E2,"WENDELL,Roger",,前期,火3,自然群,,
Analytic Dynamics-E2,"PETERS,Robert",,前期,火3,自然群,,
"基礎化学実験 1A1,1A2,1A3,1A4,1A7,1A8",津江 広人・高橋 弘樹・山本 潤子・新林 卓也・宗 正智・謝 冰,,前期,火3・火4,自然群,,
化学概論Ｉ,中村 敏浩,,前期,火3,自然群,,
Introduction to Inorganic Chemistry A-E2,Tong Zhu,,前期,火3,自然群,,
Basic Physical Chemistry (thermodynamics)-E2,ARIVAZHAGAN RAJENDRAN,,前期,火3,自然群,,
"地球科学実験 1H1,1H2,1H3,1S1,1S2,1S4,1S5",小木曽 哲・石村 豊穂・加藤 護・藤井 悠里・桑野 太輔・渡邊 裕美子・伊神 洋平・西川 友章,,前期,火3・火4,自然群,,
英語リーディング ER39 1M6,林 美穂子,,前期,火3,外国語群,,
英語ライティング－リスニングＡ EW37a 1M4,ダルスキー 智子,,前期,火3,外国語群,,
英語ライティング－リスニングＡ EW37b 1M4,Schipper Sara,,前期,火3,外国語群,,
英語ライティング－リスニングＡ EW38a 1M5,柳瀬 陽介,,前期,火3,外国語群,,
英語ライティング－リスニングＡ EW38b 1M5,ARMSTRONG，Wesley James,,前期,火3,外国語群,,
英語ライティング－リスニングＡ EW40a 1φ1,LeBlanc Catherine,,前期,火3,外国語群,,
英語ライティング－リスニングＡ EW40b 1φ1,MILNE，Daniel,,前期,火3,外国語群,,
英語ライティング－リスニングＡ EW41a 1φ2,八木 淳一,,前期,火3,外国語群,,
英語ライティング－リスニングＡ EW41b 1φ2,"RYLANDER, John",,前期,火3,外国語群,,
ドイツ語ＩＡ（文法） D1104,細見 和之,,前期,火3,外国語群,,
ドイツ語ＩＡ（演習） D1203,武田 良材,,前期,火3,外国語群,,
ドイツ語ＩＡ（演習） D1205,菅 利恵,,前期,火3,外国語群,,
ドイツ語ＩＡ（演習） D1207,西井 美幸,,前期,火3,外国語群,,
フランス語ＩＡ（文法） F1103,上田 泰史,,前期,火3,外国語群,,
フランス語ＩＡ（文法） F1104,柴田 秀樹,,前期,火3,外国語群,,
フランス語ＩＡ（演習） F1201,GRAZIANI，Jean-Francois Rene,,前期,火3,外国語群,,
中国語ＩＡ（文法） C1101,成田 健太郎,,前期,火3,外国語群,,
中国語ＩＡ（文法） C1103,山田 晃三,,前期,火3,外国語群,,
中国語ＩＡ（文法） C1106,劉 愛群,,前期,火3,外国語群,,
中国語ＩＡ（演習） C1204,小野寺 史郎,,前期,火3,外国語群,,
中国語ＩＡ（演習） C1207,黄 明月,,前期,火3,外国語群,,
スペイン語ＩＡ（文法） S1102,塚原 信行・駒村 幸,,前期,火3,外国語群,,
ドイツ語IIＡ（ライティング） D2402,OERTLE，Simon,,前期,火3,外国語群,,
フランス語IIＡ F2104,中筋 朋,,前期,火3,外国語群,,
中国語IIＡC203,津守 陽,,前期,火3,外国語群,,
アラビア語IIＡ（演習） A2201,三代川 寛子,,前期,火3,外国語群,,
日本語初級Ｉ（８Ｈコース）,河内 彩香・高橋 旬子,,前期,火3・火4・金3・金4,外国語群,,
日本語初級II（８Ｈコース）,湯川 志貴子・三原 千佳・亀川 順代,,前期,火3・火4・木3・木4,外国語群,,
日本語中級Ｉ（８Ｈコース）,河合 淳子・三原 千佳・中 智恵子,,前期,火3・火4・木2・木3,外国語群,,
日本語アカデミック・ライティングII,半田 佳奈子,,前期,火3,外国語群,,
日本語上級Ａ（総合）,手塚 まゆ子,,前期,火3,外国語群,,
"情報AI基礎［農学部］ 2A1,2A2,2A3,2A4,2A5",三宅 武,,前期,火3,情報群,,
"情報AI基礎演習［工学部］ （理工化学科） 1T20,1T21",古谷 勉・殿村 修・出垣 大貴,,前期,火3,情報群,,
"情報AI基礎演習［工学部］ （理工化学科） 1T21,1T22",春田 直毅・三浦 理紗子,,前期,火3,情報群,,
"自然現象と数学 1T5,1T6",杉野 未奈・大谷 真,,前期,火4,自然群,,
"自然現象と数学 1T7,1T8,1T9",長田 孝二・大和田 拓,,前期,火4,自然群,,
"自然現象と数学 1T10,1T11,1T12",大和田 拓,,前期,火4,自然群,,
"数学基礎Ａ ［文系］ 1H1,1H2,1H3",上木 直昌,,前期,火4・木2,自然群,,
"微分積分学続論Ｉ－ベクトル解析 2T5,2T6,2A6",髙尾 尚武,,前期,火4,自然群,,
"線形代数学続論 2S1,2S2,2S3,2S4",坂上 貴之,,前期,火4,自然群,,
"線形代数学続論 2T13,2T14,2T15,2T16",鈴木 美裕,,前期,火4,自然群,,
"線形代数学A ［文系］ 1E1,1E2,1E3,1A5",稲生 啓行,,前期,火4,自然群,,
"線形代数学A ［文系］ 1E4,1E5,1E6,1A5",平賀 郁,,前期,火4,自然群,,
振動・波動論,森成 隆夫,,前期,火4,自然群,,
Physics of Wave and Oscillation-E2,AMAR，Julien Samuel,,前期,火4,自然群,,
基礎物理化学要論,片平 正人・佐川 尚・永田 崇,,前期,火4,自然群,,
Basic Organic Chemistry I-E2,"SINGH, Vaibhav Pal",,前期,火4,自然群,,
生物学のフロンティア,森 哲・川口 真也・沼田 圭司・渡邉 大・柳田 素子・高橋 淑子・土居 秀幸・山中 伸弥・松浦 健二・湊 長博・三谷 曜子・神谷 之康・荒木 崇・中村 美知夫,,前期,火4,自然群,,
遺伝学概論,井上 博茂,,前期,火4,自然群,,
生化学入門,加藤 紀彦・坂本 雅行,,前期,火4,自然群,,
Principles of Genetics-E2,THUMKEO，Dean,,前期,火4,自然群,,
"図学Ａ 1T1,1T2",中嶋 節子,,前期,火4,自然群,,
"図学Ａ 1T3,1T4",前田 昌弘,,前期,火4,自然群,,
データ分析演習II,田村 寛・植嶋 大晃,,前期,火4,自然群,,
Introduction to Molecular Cell Biology-E2,MACPHERSON TOM,,前期,火4,自然群,,
英語リーディング ER12 1J1,吉田 恭子,,前期,火4,外国語群,,
英語リーディング ER13 1J2,PETERSON，Mark,,前期,火4,外国語群,,
英語リーディング ER14 1J3,前田 祐子,,前期,火4,外国語群,,
英語リーディング ER15 1J4,塩谷 直史,,前期,火4,外国語群,,
英語リーディング 単位未修得者クラス ESR03,中村 仁紀,,前期,火4,外国語群,,
英語ライティング－リスニングＡ EW16a 1J5,佐藤 龍一,,前期,火4,外国語群,,
英語ライティング－リスニングＡ EW16b 1J5,"RYLANDER, John",,前期,火4,外国語群,,
英語ライティング－リスニングＡ EW17a 1J6,八木 淳一,,前期,火4,外国語群,,
英語ライティング－リスニングＡ EW17b 1J6,MILNE，Daniel,,前期,火4,外国語群,,
英語ライティング－リスニングＡ EW18a 1J7,ダルスキー 智子,,前期,火4,外国語群,,
英語ライティング－リスニングＡ EW18b 1J7,MCCARTHY，Tanya Miranda,,前期,火4,外国語群,,
英語ライティング－リスニングＡ EW19a 1J8,柳瀬 陽介,,前期,火4,外国語群,,
英語ライティング－リスニングＡ EW19b 1J8,ARMSTRONG，Wesley James,,前期,火4,外国語群,,
英語ライティング－リスニングＢ 単位未修得者クラス ESW52,金丸 敏幸,,前期,火4,外国語群,,
ドイツ語ＩＡ（文法） D1113,須藤 秀平,,前期,火4,外国語群,,
ドイツ語ＩＡ（文法） D1114,小林 哲也・五反田 純,,前期,火4,外国語群,,
フランス語ＩＡ（文法） F1109,柴田 秀樹,,前期,火4,外国語群,,
フランス語ＩＢ（文法） 再履修クラス F1161,西山 教行,,前期,火4,外国語群,,
フランス語ＩＢ（演習） 再履修クラス F1261,LAFITTE， Raphael,,前期,火4,外国語群,,
中国語ＩＢ（文法） 再履修クラス C1161,山田 晃三,,前期,火4,外国語群,,
中国語ＩＡ（演習） C1212,小野寺 史郎,,前期,火4,外国語群,,
スペイン語ＩＡ（文法） S1105,塚原 信行・駒村 幸,,前期,火4,外国語群,,
ドイツ語IIＡ D2104,武田 良材,,前期,火4,外国語群,,
ドイツ語IIＡ D2105,西井 美幸,,前期,火4,外国語群,,
ドイツ語IIIＡ D301,細見 和之,,前期,火4,外国語群,,
中国語IIＡC215,黄 明月,,前期,火4,外国語群,,
スペイン語IIＡ S2102,塚原 信行・牛島 万,,前期,火4,外国語群,,
スペイン語IIＡ S2103,塚原 信行・川添 誠,,前期,火4,外国語群,,
日本語中級II（作文）,手塚 まゆ子,,前期,火4,外国語群,,
スペイン語IIIＡ S301,塚原 信行・柿原 武史,,前期,火4,外国語群,,
プログラミング演習（Java）,立木 秀樹,,前期,火4・火5,情報群,,
"情報AI基礎演習［工学部］ （理工化学科） 1T17,1T18",古谷 勉・殿村 修・出垣 大貴,,前期,火4,情報群,,
"情報AI基礎演習［工学部］ （理工化学科） 1T18,1T19",春田 直毅・三浦 理紗子,,前期,火4,情報群,,
Practice in Basics of Informatics and AI 1T25,ZHU Fan・岸田 潔・上田 恭平・岩井 裕正,,前期,火4,情報群,,
振動・波動論,薄 良彦・中西 俊博,,前期,火5,自然群,,
データ分析基礎,原 尚幸,,前期,火5,自然群,,
Biological Sciences through Scientific Articles I-E2,TAKENAKA，Mizuki,,前期,火5,自然群,,
英語リーディング 単位未修得者クラス ESR04,森口 由香,,前期,火5,外国語群,,
英語ライティング－リスニングＡ 上級 EWA02,MILNE，Daniel,,前期,火5,外国語群,,
英語ライティング－リスニングＢ 単位未修得者クラス ESW53,佐藤 龍一,,前期,火5,外国語群,,
ドイツ語ＩＡ（演習） D1224,須藤 秀平,,前期,火5,外国語群,,
ドイツ語ＩＡ（演習） D1225,西井 美幸,,前期,火5,外国語群,,
フランス語ＩＡ（文法） F1113,柴田 秀樹,,前期,火5,外国語群,,
フランス語ＩＡ（文法） F1114,西山 教行,,前期,火5,外国語群,,
中国語ＩＡ（演習） C1225,黄 明月,,前期,火5,外国語群,,
ロシア語ＩＡ（文法） R1101,堀口 大樹,,前期,火5,外国語群,,
スペイン語ＩＡ（文法） S1109,塚原 信行・牛島 万,,前期,火5,外国語群,,
スペイン語ＩＡ（文法） S1110,塚原 信行・川添 誠,,前期,火5,外国語群,,
スペイン語ＩＡ（文法） S1111,塚原 信行・駒村 幸,,前期,火5,外国語群,,
朝鮮語ＩＡ（演習） K1201,文 斗卓,,前期,火5,外国語群,,
アラビア語ＩＡ（文法） A1101,三代川 寛子,,前期,火5,外国語群,,
フランス語IIＡ（演習） F2202,LAFITTE， Raphael,,前期,火5,外国語群,,
中国語IIＡC216,劉 愛群,,前期,火5,外国語群,,
ロシア語IIＡ R201,Svetlana，Vinogradova,,前期,火5,外国語群,,
日本語上級（会話）,湯川 志貴子,,前期,火5,外国語群,,
日本語中級I（６Ｈコース）,佐々木 幸喜・河内 彩香・三原 千佳,,前期,火5・金4・金5,外国語群,,
日本語中級II（６Ｈコース）,佐々木 幸喜・河合 淳子・三登 由利子,,前期,火5・金4・金5,外国語群,,
日本語上級（文献講読IIIA）,佐々木 幸喜,,前期,火5,外国語群,,
イタリア語ＩＡ（文法） I1101,勝又 泰洋,,前期,火5,外国語群,,
イタリア語ＩＡ（文法） I1102,河合 成雄,,前期,火5,外国語群,,
イタリア語ＩＡ（４Ｈコース） I1301,霜田 洋祐,,前期,火5・金4,外国語群,,
Fundamentals of Artificial Intelligence-E2,"LALA, Divesh Kanu",,前期,火5,情報群,,
Programming Practice (Python) -E2,"THIES, Holger",,前期,火5,情報群,,
情報AI基礎［全学向］,田島 敬史・東風上 奏絵・黄 尹柔,,前期,火5,情報群,,
"微分積分学（講義・演義）Ａ 1M1,1M2",難波 隆弥・渡辺 聡美,,前期,水1・木2,自然群,,
"微分積分学（講義・演義）Ａ 1M4,1M6",上野 智弘,,前期,水1・木1,自然群,,
微分積分学（講義・演義）Ａ 1φ1,岡安 類・窪田 陽介,,前期,水1・金3,自然群,,
"線形代数学（講義・演義）Ａ 1M1,1M2",吉安 徹・石川 勝巳,,前期,水1・金3,自然群,,
線形代数学（講義・演義）Ａ 1φ1,足立 匡義,,前期,水1・木2,自然群,,
熱力学,吉田 恒也,,前期,水1,自然群,,
Basic Physical Chemistry (quantum theory)-E2,Nguyen Thanh Phuc,,前期,水1,自然群,,
"生物・生命科学入門 1S1,1S2,1S3,1S4",松下 智直・野田口 理孝・布施 静香・高原 和彦・青木 一洋,,前期,水1,自然群,,
"生物・生命科学入門 1S5,1S6,1S7,1S8",野田口 理孝・松下 智直・中野 隆文・安原 崇哲・佐藤 ゆたか,,前期,水1,自然群,,
英語リーディング ER36 1M3,林 美穂子,,前期,水1,外国語群,,
英語リーディング ER38 1M5,國友 万裕,,前期,水1,外国語群,,
英語リーディング ER41 1φ2,勝又 直也,,前期,水1,外国語群,,
英語ライティング－リスニングＡ EW39b 1M6,Peterson Sung,,前期,水1,外国語群,,
英語ライティング－リスニングＡ 上級 EWA03,Lees，David,,前期,水1,外国語群,,
コンピュータグラフィックス実習,日置 尋久,,前期,水1・水2,情報群,,
情報AI基礎演習［文学部］,徐 勤,,前期,水1,情報群,,
"自然現象と数学 1T23,1T24",鹿島 久嗣・宮崎 修次,,前期,水2,自然群,,
"微分積分学続論Ｉ－ベクトル解析 2T1,2T2,2T3,2T4",谷口 正樹,,前期,水2,自然群,,
"確率論基礎 2T10,2T11,2T12",白石 大典,,前期,水2,自然群,,
"微分積分学（講義・演義）Ａ 1M1,1M3",難波 隆弥・渡辺 聡美,,前期,水2・木2,自然群,,
微分積分学（講義・演義）Ａ 1φ2,岡安 類・窪田 陽介,,前期,水2・金3,自然群,,
"微分積分学（講義・演義）Ａ 1M5,1M6",上野 智弘,,前期,水2・木1,自然群,,
"線形代数学（講義・演義）Ａ 1M1,1M3",吉安 徹・石川 勝巳,,前期,水2・金3,自然群,,
線形代数学（講義・演義）Ａ 1φ2,足立 匡義,,前期,水2・木2,自然群,,
初修物理学Ａ,石井 裕剛,,前期,水2,自然群,,
熱力学,佐々 真一,,前期,水2,自然群,,
振動・波動論,北川 俊作,,前期,水2,自然群,,
"電磁気学続論 2T7,2T8",蓮尾 昌裕,,前期,水2,自然群,,
Introduction to Cosmology-E2,Antonio De Felice,,前期,水2,自然群,,
"基礎物理化学（量子論） 1S1,1S2,1S3",倉重 佑輝,,前期,水2,自然群,,
"基礎物理化学（量子論） 1S4,1S5,1S6",足立 俊輔,,前期,水2,自然群,,
"基礎物理化学（量子論） 1S7,1S8",吉田 幸大,,前期,水2,自然群,,
基礎物理化学（熱力学）,川西 咲子,,前期,水2,自然群,,
Outline of Chemistry II(Its History & Fundamentals)-E2,Yi Wei,,前期,水2,自然群,,
Basic Physical Chemistry (statistical mechanics)-E2,Cathy McNamee,,前期,水2,自然群,,
自然人類学Ｉ,中村 美知夫・田村 大也,,前期,水2,自然群,,
英語リーディング ER01 1H1,合田 典世,,前期,水2,外国語群,,
英語リーディング ER02 1H2,桒山 智成,,前期,水2,外国語群,,
英語リーディング ER03 1H3,國友 万裕,,前期,水2,外国語群,,
英語リーディング ER35 1M2,林 美穂子,,前期,水2,外国語群,,
英語リーディング ER37 1M4,谷口 一美,,前期,水2,外国語群,,
英語リーディング ER40 1φ1,勝又 直也,,前期,水2,外国語群,,
英語ライティング－リスニングＡ EW39a 1M6,松本 敬子,,前期,水2,外国語群,,
ドイツ語ＩＡ（演習） 再履修クラス D1251,細見 和之,,前期,水2,外国語群,,
ドイツ語IIＡ D2106,伊藤 克将,,前期,水2,外国語群,,
ドイツ語IIＡ D2107,薦田 奈美,,前期,水2,外国語群,,
フランス語IIIＡ F301,Justine LE FLOC'H,,前期,水2,外国語群,,
中国語IIＡC204,山本 浩史,,前期,水2,外国語群,,
日本語初級Ｉ（会話）,橋本 佳美,,前期,水2,外国語群,,
日本語中級II（読解）,浦木 貴和,,前期,水2,外国語群,,
"線形代数学Ａ 1T23,1T24",辻本 諭,,前期,水3,自然群,,
"微分積分学続論Ｉ－ベクトル解析 2S1,2S2,2S3,2S4",窪田 陽介,,前期,水3,自然群,,
"微分積分学続論II－微分方程式 2S5,2S6,2S7,2S8",三浦 達哉,,前期,水3,自然群,,
"微分積分学（講義・演義）Ａ 1H1,1H2,1H3,1P1,1P2",林 雅行,,前期,水3・木2,自然群,,
微分積分学（講義・演義）Ａ 1T7,小菅 真吾,,前期,水3・金1,自然群,,
微分積分学（講義・演義）Ａ 1T9,林 雅行・平川 亮太,,前期,水3・金1,自然群,,
微分積分学（講義・演義）Ａ 1T10,小菅 真吾,,前期,水3・金2,自然群,,
微分積分学（講義・演義）Ａ 1T12,林 雅行・平川 亮太,,前期,水3・金2,自然群,,
微分積分学（講義・演義）Ａ 1T13,美舩 健,,前期,水3・金1,自然群,,
微分積分学（講義・演義）Ａ 1T15,美舩 健,,前期,水3・金2,自然群,,
線形代数学（講義・演義）Ａ 1T8,吉川 敦子・宮川 明裕,,前期,水3・金1,自然群,,
線形代数学（講義・演義）Ａ 1T11,吉川 敦子・宮川 明裕,,前期,水3・金2,自然群,,
線形代数学（講義・演義）Ａ 1T14,三浦 真人・跡部 発,,前期,水3・金1,自然群,,
線形代数学（講義・演義）Ａ 1T16,三浦 真人・跡部 発,,前期,水3・金2,自然群,,
"物理学実験 1T17,1T18,1T19",藤原 直樹,,前期,水3・水4,自然群,,
Physics for All-E2,DECHANT，Andreas,,前期,水3,自然群,,
"基礎化学実験 1T20,1T21,1T22",新林 卓也・中村 敏浩・高見 大地・横山 悠子・丸山 博之・安保 真裕・伊豆 仁,,前期,水3・水4,自然群,,
"基礎有機化学Ｉ 1φ1,1φ2",黒田 悠介,,前期,水3,自然群,,
Fundamental Chemical Experiments-E2,Juha Lintuluoto・Nguyen Thanh Phuc・Yi Wei・Cathy McNamee,,前期,水3・水4,自然群,,
生物学実習II ［自然史コース］,市岡 孝朗・西川 完途・佐藤 博俊・原 壮大朗,,前期,水3・水4,自然群,,
Introductory Plant Ecology-E2,HSIANG Tzu-Fan,,前期,水3,自然群,,
データ分析演習II,仙田 徹志,,前期,水3,自然群,,
Proteins-workforce of life-E2,YASIR SERAG ALNOR MOHAMMED SERAG ALNOR,,前期,水3,自然群,,
英語リーディング ER34 1M1,林 美穂子,,前期,水3,外国語群,,
英語ライティング－リスニングＡ EW44a 1T3,浅野 真也,,前期,水3,外国語群,,
英語ライティング－リスニングＡ EW44b 1T3,Lees，David,,前期,水3,外国語群,,
英語ライティング－リスニングＡ EW45a 1T4,松本 敬子,,前期,水3,外国語群,,
英語ライティング－リスニングＡ EW45b 1T4,"RUSSELL, JAMES DOUGLAS",,前期,水3,外国語群,,
英語ライティング－リスニングＡ EW46a 1T5,藤岡 真樹,,前期,水3,外国語群,,
英語ライティング－リスニングＡ EW46b 1T5,LeBlanc Catherine,,前期,水3,外国語群,,
英語ライティング－リスニングＡ EW47a 1T6,伊藤 孝治,,前期,水3,外国語群,,
英語ライティング－リスニングＡ EW47b 1T6,"RYLANDER, John",,前期,水3,外国語群,,
英語ライティング－リスニングＡ EW67a 1A2,豊島 知穂,,前期,水3,外国語群,,
英語ライティング－リスニングＡ EW67b 1A2,Peterson Sung,,前期,水3,外国語群,,
英語ライティング－リスニングＡ EW69a 1A4,和泉 絵美,,前期,水3,外国語群,,
英語ライティング－リスニングＡ EW69b 1A4,DALSKY，David Jerome,,前期,水3,外国語群,,
英語ライティング－リスニングＡ EW71a 1A6,佐藤 龍一,,前期,水3,外国語群,,
英語ライティング－リスニングＡ EW71b 1A6,MILNE，Daniel,,前期,水3,外国語群,,
英語ライティング－リスニングＡ EW73a 1A8,山本 玲子,,前期,水3,外国語群,,
英語ライティング－リスニングＡ EW73b 1A8,HAUSER，Jacob Richard,,前期,水3,外国語群,,
ドイツ語ＩＡ（文法） D1108,細見 和之,,前期,水3,外国語群,,
ドイツ語ＩＡ（演習） D1209,筒井 友弥,,前期,水3,外国語群,,
ドイツ語ＩＡ（演習） D1210,薦田 奈美,,前期,水3,外国語群,,
フランス語ＩＡ（文法） F1106,松原 冬二,,前期,水3,外国語群,,
中国語ＩＡ（文法） C1110,山本 浩史,,前期,水3,外国語群,,
中国語ＩＡ（文法） C1111,鈴木 博之,,前期,水3,外国語群,,
スペイン語ＩＡ（演習） S1204,塚原 信行・BAINOTTI，Alberto Emilio,,前期,水3,外国語群,,
ドイツ語IIＡ D2108,小林 哲也・五反田 純,,前期,水3,外国語群,,
ドイツ語IIＡ D2109,西脇 麻衣子,,前期,水3,外国語群,,
ドイツ語IIＡ（会話） D2201,田代 ルイーサ,,前期,水3,外国語群,,
フランス語IIＡ F2105,西山 教行,,前期,水3,外国語群,,
中国語IIＡC205,松江 崇,,前期,水3,外国語群,,
中国語IIＡC217,孫 楊洋,,前期,水3,外国語群,,
日本語初級Ｉ（聴解）,橋本 佳美,,前期,水3,外国語群,,
日本語初級II（聴解）,浦木 貴和,,前期,水3,外国語群,,
"情報AI基礎［医学部］ （人間健康科学科） 1M4,1M5,1M6",笹山 哲,,前期,水3,情報群,,
"微分積分学続論Ｉ－ベクトル解析 2T17,2T18,2T19",正宗 淳,,前期,水4,自然群,,
"微分積分学（講義・演義）Ａ 1H1,1H2,1H3",林 雅行,,前期,水4・木2,自然群,,
"物理学基礎論Ａ 1T13,1T14,1T15,1T16",金澤 輝代士,,前期,水4,自然群,,
"物理学基礎論Ａ 1T23,1T24",上原 恵理香,,前期,水4,自然群,,
Fundamental Physics A-E2,金 英寛,,前期,水4,自然群,,
"基礎物理化学（熱力学） 1T7,1T8",大塚 晃弘,,前期,水4,自然群,,
"基礎物理化学（熱力学） 1T9,1T10",内本 喜晴,,前期,水4,自然群,,
"基礎物理化学（熱力学） 1T11,1T12",吉田 寿雄,,前期,水4,自然群,,
"基礎有機化学Ｉ 1S1,1S2,1S3,1S4",下川 淳,,前期,水4,自然群,,
"基礎有機化学Ｉ 1S5,1S6,1S7,1S8",儘田 正史,,前期,水4,自然群,,
宇宙科学入門,前田 啓一・岩室 史英・上田 佳宏・栗田 光樹夫・野上 大作・浅井 歩・上野 悟・永田 伸一・佐々木 貴教・鶴 剛・木野 勝・横山 央明・細川 隆史・田島 治・高田 淳史・内田 裕之・川島 由依・榎戸 輝揚,,前期,水4,自然群,,
How the Earth Works I-E2 :Environmental Change,ENESCU，Bogdan Dumitru,,前期,水4,自然群,,
Introduction to General Astronomy-E2,LEE，Shiu Hang,,前期,水4,自然群,,
図学Ａ 1T5,中嶋 節子,,前期,水4,自然群,,
図学Ａ 1T6,前田 昌弘,,前期,水4,自然群,,
"統計入門 1M4,1M5,1M6",後藤 幸織,,前期,水4,自然群,,
Data Analysis Practice I-E2,Martin Robert,,前期,水4,自然群,,
英語リーディング 単位未修得者クラス ESR05,徳永 悠,,前期,水4,外国語群,,
英語ライティング－リスニングＡ EW66a 1A1,山本 玲子,,前期,水4,外国語群,,
英語ライティング－リスニングＡ EW66b 1A1,"RUSSELL, JAMES DOUGLAS",,前期,水4,外国語群,,
英語ライティング－リスニングＡ EW68a 1A3,豊島 知穂,,前期,水4,外国語群,,
英語ライティング－リスニングＡ EW68b 1A3,Peterson Sung,,前期,水4,外国語群,,
英語ライティング－リスニングＡ EW70a 1A5,浅野 真也,,前期,水4,外国語群,,
英語ライティング－リスニングＡ EW70b 1A5,DALSKY，David Jerome,,前期,水4,外国語群,,
英語ライティング－リスニングＡ EW72a 1A7,伊藤 孝治,,前期,水4,外国語群,,
英語ライティング－リスニングＡ EW72b 1A7,"RYLANDER, John",,前期,水4,外国語群,,
英語ライティング－リスニングＢ 単位未修得者クラス ESW54,笹尾 洋介,,前期,水4,外国語群,,
ドイツ語ＩＡ（文法） D1101,小林 哲也・五反田 純,,前期,水4,外国語群,,
ドイツ語ＩＡ（文法） D1106,杉山 東洋,,前期,水4,外国語群,,
ドイツ語ＩＢ（文法） 再履修クラス D1161,西脇 麻衣子,,前期,水4,外国語群,,
ドイツ語ＩＡ（演習） D1202,伊藤 克将,,前期,水4,外国語群,,
フランス語ＩＡ（文法） F1105,井上 卓也,,前期,水4,外国語群,,
フランス語ＩＡ（演習） F1202,Rouaud Olivier Jean,,前期,水4,外国語群,,
中国語ＩＡ（文法） C1105,山本 浩史,,前期,水4,外国語群,,
中国語ＩＡ（演習） C1203,二宮 美那子,,前期,水4,外国語群,,
中国語ＩＡ（演習） C1208,津守 陽,,前期,水4,外国語群,,
中国語ＩＡ（演習） C1209,孫 楊洋,,前期,水4,外国語群,,
スペイン語ＩＡ（演習） S1202,塚原 信行・BAINOTTI，Alberto Emilio,,前期,水4,外国語群,,
フランス語IIＡ F2106,松原 冬二,,前期,水4,外国語群,,
フランス語IIＡ（演習） F2205,Justine LE FLOC'H,,前期,水4,外国語群,,
中国語IIＡC206,鈴木 博之,,前期,水4,外国語群,,
スペイン語IIＡ S2104,塚原 信行・駒村 幸,,前期,水4,外国語群,,
日本語初級II（会話）,浦木 貴和,,前期,水4,外国語群,,
日本語上級（論文・レポート作成）,手塚 まゆ子,,前期,水4,外国語群,,
"自然現象と数学 1T13,1T14",阪本 卓也・長﨑 百伸・栗田 怜,,前期,水5,自然群,,
"自然現象と数学 1T15,1T16",阪本 卓也・長﨑 百伸・栗田 怜,,前期,水5,自然群,,
微分積分学続論II－微分方程式,赤坂 立也,,前期,水5,自然群,,
Advanced Calculus I-Vector Calculus 2T25,QURESHI，Ali Gul・市川 温,,前期,水5,自然群,,
統合型複合科目（自然群m） ：数理モデリングの世界　NW02,石本 健太・鍛冶 静雄・李 聖林・宮路 智行・黒谷 賢一・竹広 真一・岡野 千草・XIE Ying・大塚 淳,,前期,水5・金4,自然群,,
