授業科目名,担当者名,配当学年,開講期,曜時限,群,学科,前身科目
物性・デバイス基礎論,米澤 進吾・大島 諒,2回生以上,前期,火1,工学部専門科目,電気電子工学科,
計算機工学,佐藤 高史,2回生以上,後期,月4,工学部専門科目,電気電子工学科,
自動制御工学,細江 陽平,3回生以上,前期,火1,工学部専門科目,電気電子工学科,
ディジタル制御,萩原 朋道,3回生以上,後期,火4,工学部専門科目,電気電子工学科,
放電工学,伊藤 陽介・弘津 研一,4回生以上,前期,月2,工学部専門科目,電気電子工学科,
通信基礎論,原田 博司・香田 優介,3回生以上,前期,水1,工学部専門科目,電気電子工学科,
情報伝送工学,林 和則・香田 優介,3回生以上,後期,水2,工学部専門科目,電気電子工学科,
通信ネットワーク,大木 英司・佐藤 丈博・庄林 宏和・海野 祐輔・小薮 正哉・花田 光平,3回生以上,後期,月2,工学部専門科目,電気電子工学科,
マイクロ波工学,篠原 真毅・三谷 友彦,4回生以上,前期,火2,工学部専門科目,電気電子工学科,
固体電子工学,浅野 卓・DE ZOYSA，Menaka,3回生以上,前期,水2,工学部専門科目,電気電子工学科,
半導体工学,木本 恒暢・金子 光顕,2回生以上,後期,火2,工学部専門科目,電気電子工学科,
プラズマ工学,海老原 祐輔・伊藤 陽介,3回生以上,後期,木5,工学部専門科目,電気電子工学科,
電気電子材料学,小林 圭,3回生以上,後期,水3,工学部専門科目,電気電子工学科,
光工学１,船戸 充,3回生以上,後期,火2,工学部専門科目,電気電子工学科,
光通信工学,大木 英司,4回生以上,前期,木1,工学部専門科目,電気電子工学科,
光電子デバイス工学,井上 卓也,4回生以上,前期,月4,工学部専門科目,電気電子工学科,
光工学２,船戸 充,4回生以上,前期,月5,工学部専門科目,電気電子工学科,
電気法規,松尾 哲司・大田 貴之,3回生以上,前期集中,集中講義,工学部専門科目,電気電子工学科,
電波法規,篠原 真毅・浅居 正充,4回生以上,後期集中,集中講義,工学部専門科目,電気電子工学科,
ディジタル回路,新津 葵一・上野 嶺,3回生以上,前期,木2,工学部専門科目,電気電子工学科,
ディジタル信号処理,横山 竜宏,3回生以上,後期,月4,工学部専門科目,電気電子工学科,
電気電子プログラミング及演習,櫻田 健・野村 泰伸,2回生以上,前期,"水4,5",工学部専門科目,電気電子工学科,
電気回路基礎論,久門 尚史,1回生以上,前期,火5,工学部専門科目,電気電子工学科,
システム最適化,阪本 卓也,3回生以上,後期,火3,工学部専門科目,電気電子工学科,
パワーエレクトロニクス,薄 良彦・持山 志宇・CASTELLAZZI，Alberto,3回生以上,前期,月1,工学部専門科目,電気電子工学科,
電気電子工学概論,杉山 和彦・西村 耕司,1回生以上,後期,"水4,5",工学部専門科目,電気電子工学科,
電気電子計算工学及演習,雨宮 尚之・横山 竜宏・村脇 有吾・謝 怡凱,3回生以上,後期,"木1,2",工学部専門科目,電気電子工学科,
電気電子工学のための量子論,竹内 繁樹,3回生以上,前期,水4,工学部専門科目,電気電子工学科,
電気電子計測,岡本 亮,2回生以上,後期,金3,工学部専門科目,電気電子工学科,
電気電子数学1,海老原 祐輔・吉井 和佳,2回生以上,後期,金1,工学部専門科目,電気電子工学科,
電気電子数学２,吉井 和佳,3回生以上,前期,水3,工学部専門科目,電気電子工学科,
電気伝導,米澤 進吾・土井 俊哉,4回生以上,前期,水2,工学部専門科目,電気電子工学科,
電気機器基礎論,進藤 裕司,3回生以上,前期,月4,工学部専門科目,電気電子工学科,
応用電気機器,中村 武恒,3回生以上,後期,月5,工学部専門科目,電気電子工学科,
電波工学,篠原 真毅・橋口 浩之,3回生以上,後期,月3,工学部専門科目,電気電子工学科,
アンテナ・伝搬工学,橋口 浩之,4回生以上,前期,木2,工学部専門科目,電気電子工学科,
組み込み計算機システム,佐藤 高史・上野 嶺,3回生以上,後期,水1,工学部専門科目,電気電子工学科,
生体工学の基礎,野村 泰伸,3回生以上,後期,火1,工学部専門科目,電気電子工学科,
集積回路工学,佐藤 高史・橋本 昌宜,4回生以上,前期,木4,工学部専門科目,電気電子工学科,
メカトロニクス入門,細田 耕・川節 拓実,3回生以上,後期,水4,工学部専門科目,電気電子工学科,
情報通信工学,原田 博司・大木 英司・香田 優介・佐藤 丈博,4回生以上,前期,火3,工学部専門科目,電気電子工学科,
電子物性工学,白石 誠司,3回生以上,後期,火5,工学部専門科目,電気電子工学科,
真空電子工学,後藤 康仁,3回生以上,前期,木1,工学部専門科目,電気電子工学科,
電気電子回路演習,小嶋 浩嗣・下田 宏・稲垣 滋・上田 樹美・白木 隆太・三谷 友彦,2回生以上,前期,"木3,4",工学部専門科目,電気電子工学科,
電気電子工学基礎実験,井上 卓也・白井 僚・浅野 卓・吉田 昌宏・新津 葵一・杉山 和彦・大島 諒・曽我部 友輔・石井 裕剛・西村 耕司・金 史良・栗田 怜・向井 佑・川山 巌・稲垣 秦一郎・俣野 眞一朗,2回生以上,後期,"木1,2,3,4",工学部専門科目,電気電子工学科,
生体医療工学,石井 信・阪本 卓也・下田 宏・野村 泰伸・島(cid:8443) 秀昭・伊藤 陽介,4回生以上,前期,火1,工学部専門科目,電気電子工学科,
電気電子工学実験,船戸 充・中村 武恒・上田 義勝・岡本 亮・小林 圭・細江 陽平・衛藤 雄二郎・佐藤 丈博・謝 怡凱・劉 昆洋・池田 敦俊・上野 嶺,3回生以上,前期,"金1,2,3,4",工学部専門科目,電気電子工学科,
電気電子工学実習,伊藤 陽介・石井 良太・掛谷 一弘・香田 優介・金子 光顕・後藤 康仁・持山 志宇・松山 顕之・片山 梨沙・DE ZOYSA，Menaka・上田 博之・三上 杏太,3回生以上,後期,"金1,2,3,4",工学部専門科目,電気電子工学科,
電力システム工学,薄 良彦,3回生以上,後期,水5,工学部専門科目,電気電子工学科,
応用電力工学,松尾 哲司・高井 茂臣・齋藤 康光,4回生以上,前期,月3,工学部専門科目,電気電子工学科,
機械学習,石井 信・西野 恒,3回生以上,後期,木3,工学部専門科目,電気電子工学科,
