授業科目名,担当者名,配当学年,開講期,曜時限,群,学科,前身科目,年度
建築構造力学Ｉ,荒木 慶一・張 景耀・林 和希,2回生以上,前期,金1,工学部専門科目,建築学科,,2026
建築構造力学II,五十子 幸樹・藤田 皓平,2回生以上,後期,金1,工学部専門科目,建築学科,,2026
建築材料,寺本 篤史・杉野 未奈,2回生以上,後期,月2,工学部専門科目,建築学科,,2026
建築設計論,平田 晃久,2回生以上,前期,月2,工学部専門科目,建築学科,,2026
都市設計学,小林 広英・落合 知帆,3回生以上,前期,月3,工学部専門科目,建築学科,,2026
建築設備システム,小椋 大輔・石田 泰一郎・伊庭 千恵美,3回生以上,前期,木1,工学部専門科目,建築学科,,2026
鉄筋コンクリート構造Ｉ,谷 昌典,3回生以上,前期,金2,工学部専門科目,建築学科,,2026
鉄骨構造Ｉ,池田 芳樹・聲高 裕治,3回生以上,前期,木2,工学部専門科目,建築学科,,2026
建築生産Ｉ,金多 隆・西野 佐弥香,2回生以上,前期,水1,工学部専門科目,建築学科,,2026
建築構造力学III,五十子 幸樹・荒木 慶一・張 景耀・藤田 皓平,3回生以上,前期,"火2,水2",工学部専門科目,建築学科,,2026
建築環境工学演習,原田 和典・小椋 大輔・石田 泰一郎・大谷 真・伊庭 千恵美・仁井 大策・西野 智研・高取 伸光・孫 安陽・田中 達宏,4回生以上,前期,"水1,2",工学部専門科目,建築学科,,2026
建築計画学II,三浦 研・酒谷 粋将・安田 渓・永田 久子・松森 織江,4回生以上,前期,水3,工学部専門科目,建築学科,,2026
建築生産II,金多 隆・西野 佐弥香・木内 利夫,3回生以上,後期,火1,工学部専門科目,建築学科,,2026
建築論,田路 貴浩・猪股 圭佑・中村 景月,3回生以上,前期,水3,工学部専門科目,建築学科,,2026
都市・地域論,神吉 紀世子,3回生以上,後期,木2,工学部専門科目,建築学科,,2026
建築光・音環境学,石田 泰一郎・大谷 真,3回生以上,前期,月1,工学部専門科目,建築学科,,2026
建築構造解析,池田 芳樹・荒木 慶一,3回生以上,後期,水2,工学部専門科目,建築学科,,2026
建築基礎構造,境 有紀・藤田 皓平・長嶋 史明,4回生以上,前期,月2,工学部専門科目,建築学科,,2026
耐震構造,杉野 未奈,3回生以上,後期,水3,工学部専門科目,建築学科,,2026
鉄筋コンクリート構造II,谷 昌典,3回生以上,後期,月3,工学部専門科目,建築学科,,2026
鉄骨構造II,倉田 真宏・稲益 博行,3回生以上,後期,月2,工学部専門科目,建築学科,,2026
設計演習III,平田 晃久・金多 隆・神吉 紀世子・冨島 義幸・岩本 馨・猪股 圭佑・西澤 徹夫・岩瀨 諒子・榮家 志保・中村 景月,3回生以上,前期,"月4,5,金4,5",工学部専門科目,建築学科,,2026
設計演習IV,平田 晃久・三浦 研・柳沢 究・榮家 志保・山本 麻子・藤本 壮介,3回生以上,後期,"月5,火3,4,5,水5",工学部専門科目,建築学科,,2026
耐風構造,西嶋 一欽・髙舘 祐貴,4回生以上,前期,火2,工学部専門科目,建築学科,,2026
建築・都市行政,文山 達昭・岡田 耕介・佐藤 友彦,2回生以上,前期,水4,工学部専門科目,建築学科,,2026
設計演習Ｖ,平田 晃久・金多 隆・神吉 紀世子・冨島 義幸・三浦 研・DANIELL，Thomas Charles・田路 貴浩・小林 広英・岩本 馨・柳沢 究・西野 佐弥香・猪股 圭佑・小見山 陽介・酒谷 粋将・岩瀨 諒子・安田 渓・清山 陽平・杉中 瑞季,4回生以上,前期,"火3,4,5,水5",工学部専門科目,建築学科,,2026
構造設計演習,谷 昌典・聲高 裕治・佐藤 裕一・山田 諒・福本 義之,4回生以上,前期,"金4,5",工学部専門科目,建築学科,,2026
構造・材料実験,聲高 裕治・谷 昌典・杉野 未奈・寺本 篤史・稲益 博行・佐藤 裕一・山田 諒,4回生以上,前期,"月3,4",工学部専門科目,建築学科,,2026
建築安全設計,原田 和典・西野 智研・仁井 大策,4回生以上,前期,金2,工学部専門科目,建築学科,,2026
建築工学概論<建築>,荒木 慶一・聲高 裕治・松島 信一・谷 昌典,1回生以上,後期,月1,工学部専門科目,建築学科,,2026
都市環境工学,原田 和典・石田 泰一郎・西野 智研,3回生以上,後期,木1,工学部専門科目,建築学科,,2026
行動・建築デザイン論,牧 紀男,3回生以上,前期,火4,工学部専門科目,建築学科,,2026
建築応用数学,五十子 幸樹・小椋 大輔・大谷 真・西嶋 一欽,3回生以上,前期,金3,工学部専門科目,建築学科,,2026
建築情報システム学,金多 隆・西野 佐弥香,3回生以上,前期,火3,工学部専門科目,建築学科,,2026
日本都市史,岩本 馨,1回生以上,前期,金3,工学部専門科目,建築学科,,2026
日本建築史,冨島 義幸,3回生以上,後期,水1,工学部専門科目,建築学科,,2026
建築情報処理演習,伊庭 千恵美・倉田 真宏・酒谷 粋将・稲益 博行・安田 渓・高取 伸光,2回生以上,後期,"金4,5",工学部専門科目,建築学科,,2026
建築温熱環境設計,小椋 大輔・伊庭 千恵美,3回生以上,後期,火2,工学部専門科目,建築学科,,2026
設計演習基礎,平田 晃久・猪股 圭佑・酒谷 粋将・岩瀨 諒子・榮家 志保・清山 陽平・杉中 瑞季・中村 景月・安田 渓,1回生以上,後期,"月4,5",工学部専門科目,建築学科,,2026
世界建築史,冨島 義幸・岩本 馨,1回生以上,後期,月3,工学部専門科目,建築学科,,2026
専門英語,"TSOI, Esther",4回生以上,前期,木4,工学部専門科目,建築学科,,2026
建築造形実習,小見山 陽介・平野 利樹・安田 渓・清山 陽平,1回生以上,前期,"月3,4",工学部専門科目,建築学科,,2026
建築設備計画法,原田 和典・小椋 大輔・石田 泰一郎・大谷 真・伊庭 千恵美・西野 智研・仁井 大策・新村 浩一,4回生以上,前期,水4,工学部専門科目,建築学科,,2026
環境デザイン論,田路 貴浩・猪股 圭佑・小見山 陽介・早川 小百合,2回生以上,前期,水5,工学部専門科目,建築学科,,2026
特別研究,谷 昌典,4回生以上,通年集中,集中講義,工学部専門科目,建築学科,,2026
工学倫理,石田 泰一郎・泉田 啓・河瀬 元明・河原 達也・伊勢田 哲治・立場 貴文・藤本 仁・藤原 哲晶・鈴木 基史・市川 温・浦山 健治・金多 隆・川那辺 洋・林 和希・中川 雅之,4回生以上,前期,木3,工学部専門科目,,,2026
工学序論,冨島 義幸・村上 定義・藤原 拓・加嶋 健司・吉井 和佳・木谷 哲夫・佐野 紀彰・石塚 師也,1回生以上,前期集中,集中講義,工学部専門科目,,,2026
工学部国際インターンシップ１,"本多 充・KOWHAKUL, Wasana",3回生以上,通年集中,集中講義,工学部専門科目,,,2026
グローバル・リーダーシップセミナー I (企業調査研究),石塚 師也,2回生以上,通年集中,集中講義,工学部専門科目,,,2026
工学部国際インターンシップ２,"本多 充・KOWHAKUL, Wasana",3回生以上,通年集中,集中講義,工学部専門科目,,,2026
グローバル・リーダーシップセミナー II (イノベーションとその事業化),本多 充,2回生以上,後期集中,集中講義,工学部専門科目,,,2026
電気電子回路,久門 尚史,1回生以上,後期,月5,工学部専門科目,電気電子工学科,,2026
電磁気学１,松尾 哲司,2回生以上,後期,金2,工学部専門科目,電気電子工学科,,2026
電磁気学２,松尾 哲司・雨宮 尚之,3回生以上,前期,月2,工学部専門科目,電気電子工学科,,2026
電子回路,杉山 和彦,2回生以上,前期,金2,工学部専門科目,電気電子工学科,,2026
論理回路,橋本 昌宜,2回生以上,前期,金1,工学部専門科目,電気電子工学科,,2026
情報理論,林 和則・佐藤 丈博,2回生以上,後期,火1,工学部専門科目,電気電子工学科,,2026
物性・デバイス基礎論,米澤 進吾・大島 諒,2回生以上,前期,火1,工学部専門科目,電気電子工学科,,2026
計算機工学,佐藤 高史,2回生以上,後期,月4,工学部専門科目,電気電子工学科,,2026
自動制御工学,細江 陽平,3回生以上,前期,火1,工学部専門科目,電気電子工学科,,2026
ディジタル制御,萩原 朋道,3回生以上,後期,火4,工学部専門科目,電気電子工学科,,2026
放電工学,伊藤 陽介・弘津 研一,4回生以上,前期,月2,工学部専門科目,電気電子工学科,,2026
通信基礎論,原田 博司・香田 優介,3回生以上,前期,水1,工学部専門科目,電気電子工学科,,2026
情報伝送工学,林 和則・香田 優介,3回生以上,後期,水2,工学部専門科目,電気電子工学科,,2026
通信ネットワーク,大木 英司・佐藤 丈博・庄林 宏和・海野 祐輔・小薮 正哉・花田 光平,3回生以上,後期,月2,工学部専門科目,電気電子工学科,,2026
マイクロ波工学,篠原 真毅・三谷 友彦,4回生以上,前期,火2,工学部専門科目,電気電子工学科,,2026
固体電子工学,浅野 卓・DE ZOYSA，Menaka,3回生以上,前期,水2,工学部専門科目,電気電子工学科,,2026
半導体工学,木本 恒暢・金子 光顕,2回生以上,後期,火2,工学部専門科目,電気電子工学科,,2026
プラズマ工学,海老原 祐輔・伊藤 陽介,3回生以上,後期,木5,工学部専門科目,電気電子工学科,,2026
電気電子材料学,小林 圭,3回生以上,後期,水3,工学部専門科目,電気電子工学科,,2026
光工学１,船戸 充,3回生以上,後期,火2,工学部専門科目,電気電子工学科,,2026
光通信工学,大木 英司,4回生以上,前期,木1,工学部専門科目,電気電子工学科,,2026
光電子デバイス工学,井上 卓也,4回生以上,前期,月4,工学部専門科目,電気電子工学科,,2026
光工学２,船戸 充,4回生以上,前期,月5,工学部専門科目,電気電子工学科,,2026
電気法規,松尾 哲司・大田 貴之,3回生以上,前期集中,集中講義,工学部専門科目,電気電子工学科,,2026
電波法規,篠原 真毅・浅居 正充,4回生以上,後期集中,集中講義,工学部専門科目,電気電子工学科,,2026
ディジタル回路,新津 葵一・上野 嶺,3回生以上,前期,木2,工学部専門科目,電気電子工学科,,2026
ディジタル信号処理,横山 竜宏,3回生以上,後期,月4,工学部専門科目,電気電子工学科,,2026
電気電子プログラミング及演習,櫻田 健・野村 泰伸,2回生以上,前期,"水4,5",工学部専門科目,電気電子工学科,,2026
電気回路基礎論,久門 尚史,1回生以上,前期,火5,工学部専門科目,電気電子工学科,,2026
システム最適化,阪本 卓也,3回生以上,後期,火3,工学部専門科目,電気電子工学科,,2026
パワーエレクトロニクス,薄 良彦・持山 志宇・CASTELLAZZI，Alberto,3回生以上,前期,月1,工学部専門科目,電気電子工学科,,2026
電気電子工学概論,杉山 和彦・西村 耕司,1回生以上,後期,"水4,5",工学部専門科目,電気電子工学科,,2026
電気電子計算工学及演習,雨宮 尚之・横山 竜宏・村脇 有吾・謝 怡凱,3回生以上,後期,"木1,2",工学部専門科目,電気電子工学科,,2026
電気電子工学のための量子論,竹内 繁樹,3回生以上,前期,水4,工学部専門科目,電気電子工学科,,2026
電気電子計測,岡本 亮,2回生以上,後期,金3,工学部専門科目,電気電子工学科,,2026
電気電子数学1,海老原 祐輔・吉井 和佳,2回生以上,後期,金1,工学部専門科目,電気電子工学科,,2026
電気電子数学２,吉井 和佳,3回生以上,前期,水3,工学部専門科目,電気電子工学科,,2026
電気伝導,米澤 進吾・土井 俊哉,4回生以上,前期,水2,工学部専門科目,電気電子工学科,,2026
電気機器基礎論,進藤 裕司,3回生以上,前期,月4,工学部専門科目,電気電子工学科,,2026
応用電気機器,中村 武恒,3回生以上,後期,月5,工学部専門科目,電気電子工学科,,2026
電波工学,篠原 真毅・橋口 浩之,3回生以上,後期,月3,工学部専門科目,電気電子工学科,,2026
アンテナ・伝搬工学,橋口 浩之,4回生以上,前期,木2,工学部専門科目,電気電子工学科,,2026
組み込み計算機システム,佐藤 高史・上野 嶺,3回生以上,後期,水1,工学部専門科目,電気電子工学科,,2026
生体工学の基礎,野村 泰伸,3回生以上,後期,火1,工学部専門科目,電気電子工学科,,2026
集積回路工学,佐藤 高史・橋本 昌宜,4回生以上,前期,木4,工学部専門科目,電気電子工学科,,2026
メカトロニクス入門,細田 耕・川節 拓実,3回生以上,後期,水4,工学部専門科目,電気電子工学科,,2026
情報通信工学,原田 博司・大木 英司・香田 優介・佐藤 丈博,4回生以上,前期,火3,工学部専門科目,電気電子工学科,,2026
電子物性工学,白石 誠司,3回生以上,後期,火5,工学部専門科目,電気電子工学科,,2026
真空電子工学,後藤 康仁,3回生以上,前期,木1,工学部専門科目,電気電子工学科,,2026
電気電子回路演習,小嶋 浩嗣・下田 宏・稲垣 滋・上田 樹美・白木 隆太・三谷 友彦,2回生以上,前期,"木3,4",工学部専門科目,電気電子工学科,,2026
電気電子工学基礎実験,井上 卓也・白井 僚・浅野 卓・吉田 昌宏・新津 葵一・杉山 和彦・大島 諒・曽我部 友輔・石井 裕剛・西村 耕司・金 史良・栗田 怜・向井 佑・川山 巌・稲垣 秦一郎・俣野 眞一朗,2回生以上,後期,"木1,2,3,4",工学部専門科目,電気電子工学科,,2026
生体医療工学,石井 信・阪本 卓也・下田 宏・野村 泰伸・島﨑 秀昭・伊藤 陽介,4回生以上,前期,火1,工学部専門科目,電気電子工学科,,2026
電気電子工学実験,船戸 充・中村 武恒・上田 義勝・岡本 亮・小林 圭・細江 陽平・衛藤 雄二郎・佐藤 丈博・謝 怡凱・劉 昆洋・池田 敦俊・上野 嶺,3回生以上,前期,"金1,2,3,4",工学部専門科目,電気電子工学科,,2026
電気電子工学実習,伊藤 陽介・石井 良太・掛谷 一弘・香田 優介・金子 光顕・後藤 康仁・持山 志宇・松山 顕之・片山 梨沙・DE ZOYSA，Menaka・上田 博之・三上 杏太,3回生以上,後期,"金1,2,3,4",工学部専門科目,電気電子工学科,,2026
電力システム工学,薄 良彦,3回生以上,後期,水5,工学部専門科目,電気電子工学科,,2026
応用電力工学,松尾 哲司・高井 茂臣・齋藤 康光,4回生以上,前期,月3,工学部専門科目,電気電子工学科,,2026
機械学習,石井 信・西野 恒,3回生以上,後期,木3,工学部専門科目,電気電子工学科,,2026
アルゴリズムとデータ構造,西野 恒・櫻田 健,3回生以上,前期,火2,工学部専門科目,電気電子工学科,,2026
電気電磁回路,久門 尚史,3回生以上,前期,火3,工学部専門科目,電気電子工学科,,2026
特別研究,全員,4回生以上,通年集中,集中講義,工学部専門科目,電気電子工学科,,2026
グラフ理論（電気電子）,川原 純,3回生以上,後期,木4,工学部専門科目,情報学科,,2026
人工知能,神田 崇行,3回生以上,前期,水3,工学部専門科目,情報学科,,2026
メディア情報処理,河原 達也・中村 裕一,3回生以上,後期,火4,工学部専門科目,情報学科,,2026
情報符号理論続論,小渕 智之・本多 淳也,3回生以上,後期,火3,工学部専門科目,情報学科,,2026
工学倫理,石田 泰一郎・泉田 啓・河瀬 元明・河原 達也・伊勢田 哲治・立場 貴文・藤本 仁・藤原 哲晶・鈴木 基史・市川 温・浦山 健治・金多 隆・川那辺 洋・林 和希・中川 雅之,4回生以上,前期,木3,工学部専門科目,,,2026
工学序論,冨島 義幸・村上 定義・藤原 拓・加嶋 健司・吉井 和佳・木谷 哲夫・佐野 紀彰・石塚 師也,1回生以上,前期集中,集中講義,工学部専門科目,,,2026
工学部国際インターンシップ１,"本多 充・KOWHAKUL, Wasana",3回生以上,通年集中,集中講義,工学部専門科目,,,2026
グローバル・リーダーシップセミナー I (企業調査研究),石塚 師也,2回生以上,通年集中,集中講義,工学部専門科目,,,2026
工学部国際インターンシップ２,"本多 充・KOWHAKUL, Wasana",3回生以上,通年集中,集中講義,工学部専門科目,,,2026
グローバル・リーダーシップセミナー II (イノベーションとその事業化),本多 充,2回生以上,後期集中,集中講義,工学部専門科目,,,2026
有機工業化学,藤原 哲晶・跡見 晴幸・河瀬 元明・近藤 輝幸・蘆田 隆一・寺村 謙太郎,3回生以上,後期,水1,工学部専門科目,理工化学科,,2026
生物化学工学,跡見 晴幸・三木 裕明・高橋 重成・佐藤 喬章・船戸 洋佑・田村 朋則,3回生以上,後期,金2,工学部専門科目,理工化学科,,2026
環境保全概論,平井 康宏・中川 浩行・矢野 順也,3回生以上,前期,月1,工学部専門科目,理工化学科,,2026
環境安全化学,阿部 竜・中川 浩行・山本 浩平,3回生以上,後期,木1,工学部専門科目,理工化学科,,2026
移動現象,山本 量一,3回生以上,前期,火2,工学部専門科目,理工化学科,,2026
プロセス制御工学,外輪 健一郎・殿村 修,3回生以上,前期,水2,工学部専門科目,理工化学科,,2026
量子化学概論,佐藤 啓文,3回生以上,後期,月2,工学部専門科目,理工化学科,,2026
電気化学,安部 武志・宮原 雄人・宮崎 晃平,4回生以上,前期,木2,工学部専門科目,理工化学科,,2026
有機分光学,田中 一生・山本 武司・大前 仁・磯崎 勝弘,4回生以上,前期,火2,工学部専門科目,理工化学科,,2026
触媒化学,阿部 竜・藤原 哲晶・跡見 晴幸・松井 敏明・中田 明伸,4回生以上,前期,水1,工学部専門科目,理工化学科,,2026
生化学II,三木 裕明・跡見 晴幸・高橋 重成・佐藤 喬章・船戸 洋佑・田村 朋則,3回生以上,後期,月1,工学部専門科目,理工化学科,,2026
微粒子工学,渡邉 哲・長嶺 信輔,3回生以上,後期,火1,工学部専門科目,理工化学科,,2026
プロセスシステム工学,外輪 健一郎・殿村 修,3回生以上,後期,木2,工学部専門科目,理工化学科,,2026
プロセス設計,外輪 健一郎・玉川 淳・殿村 修・化学プロセス工学コース関連教員,4回生以上,前期,金3,工学部専門科目,理工化学科,,2026
計算化学工学,前多 裕介・長嶺 信輔,3回生以上,前期,火3,工学部専門科目,理工化学科,,2026
化学実験の安全指針,中川 浩行・大前 仁・阿部 竜・田中 隆行・大内 誠・山本 武司,4回生以上,前期集中,集中講義,工学部専門科目,理工化学科,,2026
化学工学シミュレーション,山本 量一・渡邉 哲,3回生以上,後期,火2,工学部専門科目,理工化学科,,2026
物理化学基礎及び演習［工化1],古賀 毅・古谷 勉,2回生以上,前期,火2,工学部専門科目,理工化学科,,2026
物理化学基礎及び演習［工化2］,寺村 謙太郎・井口 翔之,2回生以上,前期,火2,工学部専門科目,理工化学科,,2026
物理化学基礎及び演習［工化3］,田辺 克明,2回生以上,前期,火2,工学部専門科目,理工化学科,,2026
物理化学基礎及び演習［工化4］,東野 智洋・森岡 直也,2回生以上,前期,火2,工学部専門科目,理工化学科,,2026
有機化学基礎及び演習［工化1］,藤原 哲晶,2回生以上,前期,月1,工学部専門科目,理工化学科,,2026
有機化学基礎及び演習［工化2］,大宮 寛久・長尾 一哲,2回生以上,前期,月1,工学部専門科目,理工化学科,,2026
有機化学基礎及び演習［工化3］,石田 直樹・田村 朋則,2回生以上,前期,月1,工学部専門科目,理工化学科,,2026
有機化学基礎及び演習［工化4］,山子 茂・秋吉 美里,2回生以上,前期,月1,工学部専門科目,理工化学科,,2026
基礎無機化学［T17，T18］,阿部 竜・高井 茂臣・田中 勝久,2回生以上,前期,金2,工学部専門科目,理工化学科,,2026
基礎無機化学［T19，T20］,松井 敏明・田中 勝久・下間 靖彦,2回生以上,前期,金2,工学部専門科目,理工化学科,,2026
基礎無機化学［T21，T22］,藤田 晃司・田中 勝久,2回生以上,前期,金2,工学部専門科目,理工化学科,,2026
化学プロセス工学基礎［T17，T18］,山本 量一・牧 泰輔・河瀬 元明,2回生以上,前期,木2,工学部専門科目,理工化学科,,2026
化学プロセス工学基礎［T19，T20］,河瀬 元明・蘆田 隆一・山本 量一,2回生以上,前期,木2,工学部専門科目,理工化学科,,2026
化学プロセス工学基礎［T21，T22］,中川 浩行・山本 量一・河瀬 元明,2回生以上,前期,木1,工学部専門科目,理工化学科,,2026
生命化学基礎,跡見 晴幸・三木 裕明・近藤 輝幸・沼田 圭司・今堀 博・永楽 元次・高橋 重成,2回生以上,前期,火4,工学部専門科目,理工化学科,,2026
有機化学Ｉ（創成化学）,大宮 寛久,2回生以上,後期,月1,工学部専門科目,理工化学科,,2026
物理化学Ｉ（創成化学）,古賀 毅・古谷 勉,2回生以上,後期,水2,工学部専門科目,理工化学科,,2026
無機化学（創成化学）,下間 靖彦,2回生以上,後期,月2,工学部専門科目,理工化学科,,2026
分析化学（創成化学）,小山 宗孝・野中 洋・久保 拓也,2回生以上,後期,金2,工学部専門科目,理工化学科,,2026
高分子化学基礎Ｉ（創成化学）,大内 誠・井田 大地,2回生以上,後期,木2,工学部専門科目,理工化学科,,2026
有機化学II（創成化学）,杉安 和憲,3回生以上,前期,水2,工学部専門科目,理工化学科,,2026
生体関連物質化学（創成化学）,沼田 圭司・大前 仁,3回生以上,前期,火1,工学部専門科目,理工化学科,,2026
物理化学II（創成化学）,古谷 勉・辻井 敬亘・石田 紘一朗,3回生以上,前期,水1,工学部専門科目,理工化学科,,2026
高分子化学基礎II（創成化学）,堀中 順一・大内 誠,3回生以上,前期,火2,工学部専門科目,理工化学科,,2026
統計熱力学入門（創成化学）,井田 大地,3回生以上,前期,月2,工学部専門科目,理工化学科,,2026
機器分析化学（創成化学）,小山 宗孝・野中 洋・大塚 浩二,3回生以上,前期,金1,工学部専門科目,理工化学科,,2026
有機化学III（創成化学）,中尾 佳亮・佐々木 善浩,3回生以上,後期,火2,工学部専門科目,理工化学科,,2026
物理化学III（創成化学）,大北 英生・山本 俊介,3回生以上,後期,火1,工学部専門科目,理工化学科,,2026
最先端機器分析（創成化学）,小山 宗孝・野中 洋・大塚 浩二,3回生以上,後期,金1,工学部専門科目,理工化学科,,2026
化学のフロンティア（創成化学）,中尾 佳亮・小山 宗孝・竹中 幹人・田中 勝久・杉安 和憲・大内 誠・中村 洋・沼田 圭司,4回生以上,前期,"金3,4",工学部専門科目,理工化学科,,2026
化学生物学,永楽 元次・大串 雅俊,3回生以上,後期,木2,工学部専門科目,理工化学科,,2026
高分子化学Ｉ,大内 誠,3回生以上,後期,水1,工学部専門科目,理工化学科,,2026
化学数学（創成化学）,中村 洋・小川 紘樹,2回生以上,後期,火2,工学部専門科目,理工化学科,,2026
錯体化学（創成化学）,藤田 晃司・田中 勝久,3回生以上,後期,月1,工学部専門科目,理工化学科,,2026
高分子化学II,竹中 幹人・浦山 健治・小川 紘樹,3回生以上,後期,金2,工学部専門科目,理工化学科,,2026
創成化学実験Ⅰ（創成化学）,田中 一生・佐々木 善浩・野中 洋・寺島 崇矢・大前 仁・藤田 晃司・井田 大地・古谷 勉・創成化学実験関連教員,3回生以上,前期,"火3,4,5,水3,4,5,木3,4,5",工学部専門科目,理工化学科,,2026
創成化学実験Ⅱ（創成化学）,田中 一生・佐々木 善浩・野中 洋・大前 仁・藤田 晃司・井田 大地・古谷 勉・創成化学実験関連教員,3回生以上,後期,"火3,4,5,水3,4,5,木3,4,5",工学部専門科目,理工化学科,,2026
科学英語（創成化学）［工化1・工化3］,田中 一生・John Pryce,3回生以上,前期,月3,工学部専門科目,理工化学科,,2026
科学英語（創成化学）［工化2・工化4］,田中 一生・John Pryce,3回生以上,前期,月4,工学部専門科目,理工化学科,,2026
グリーンケミストリー概論,生越 友樹・SIVANIAH，Easan・阿部 竜,3回生以上,前期,木1,工学部専門科目,理工化学科,,2026
化学数学II,佐藤 徹・森 俊文,3回生以上,前期,金1,工学部専門科目,理工化学科,,2026
物理化学Ｉ（化学工学）,牧 泰輔,2回生以上,後期,水2,工学部専門科目,理工化学科,,2026
無機化学Ｉ（化学工学）,作花 哲夫・安部 武志・阿部 竜・野平 俊之・松井 敏明,2回生以上,後期,月2,工学部専門科目,理工化学科,,2026
化学工学数学Ｉ（化学工学）,長嶺 信輔・谷口 貴志,2回生以上,後期,木1,工学部専門科目,理工化学科,,2026
流体系分離工学,佐野 紀彰・渡邉 哲,3回生以上,前期,木1,工学部専門科目,理工化学科,,2026
物理化学II（化学工学）,田辺 克明・鈴木 哲夫,3回生以上,前期,金2,工学部専門科目,理工化学科,,2026
化学工学数学II,谷口 貴志・前多 裕介,3回生以上,前期,金1,工学部専門科目,理工化学科,,2026
反応工学II,中川 浩行・河瀬 元明・蘆田 隆一,3回生以上,前期,月2,工学部専門科目,理工化学科,,2026
固相系分離工学,佐野 紀彰,3回生以上,後期,水2,工学部専門科目,理工化学科,,2026
物理化学III（化学工学）,山本 量一・田辺 克明,3回生以上,後期,火3,工学部専門科目,理工化学科,,2026
化学プロセス工学実験Ｉ（化学工学）,Cathy McNamee・殿村 修・MOLINA LOPEZ， John Jairo・平出 翔太郎・藤墳 大裕・鈴木 哲夫・宮本 奏汰・村中 陽介・有馬 誉・別府 航早・丸山 博之・化学工学実験関連教員,3回生以上,前期,"木3,4,5,金3,4,5",工学部専門科目,理工化学科,,2026
化学プロセス工学実験II（化学工学）,Cathy McNamee・殿村 修・MOLINA LOPEZ， John Jairo・平出 翔太郎・藤墳 大裕・鈴木 哲夫・宮本 奏汰・村中 陽介・有馬 誉・別府 航早・丸山 博之・化学工学実験関連教員,3回生以上,後期,"水3,4,5,木3,4,5",工学部専門科目,理工化学科,,2026
化学工学量論,河瀬 元明・牧 泰輔・村中 陽介,2回生以上,後期,水1,工学部専門科目,理工化学科,,2026
科学英語（化学工学）［工化1・工化3］,前多 裕介・John Pryce,3回生以上,後期,月3,工学部専門科目,理工化学科,,2026
科学英語（化学工学）［工化2・工化4］,前多 裕介・John Pryce,3回生以上,後期,月4,工学部専門科目,理工化学科,,2026
化学プロセス工学［W２０２（創成）］,佐野 紀彰・外輪 健一郎・渡邉 哲,2回生以上,後期,水1,工学部専門科目,理工化学科,,2026
化学プロセス工学［ＮＳ（先端）］,佐野 紀彰・外輪 健一郎・渡邉 哲,2回生以上,後期,水1,工学部専門科目,理工化学科,,2026
基礎流体力学,谷口 貴志,2回生以上,後期,火2,工学部専門科目,理工化学科,,2026
化学工学計算機演習,河瀬 元明・蘆田 隆一,2回生以上,後期,火4,工学部専門科目,理工化学科,,2026
反応工学Ｉ,中川 浩行・河瀬 元明,2回生以上,後期,金2,工学部専門科目,理工化学科,,2026
材料有機合成化学,山子 茂・秋吉 美里,3回生以上,後期,月2,工学部専門科目,理工化学科,,2026
高分子化学序論,中村 洋,2回生以上,前期,水2,工学部専門科目,理工化学科,,2026
