授業科目名,担当者名,配当学年,開講期,曜時限,群,学科,前身科目,年度
無機化学Ｉ（先端化学）［工化2・工化4］,作花 哲夫・安部 武志・阿部 竜・野平 俊之・松井 敏明・宮崎 晃平・草田 康平,2回生以上,後期,月2,工学部専門科目,理工化学科,,2024
分析化学Ｉ（先端化学）［工化1・工化3］,作花 哲夫・安部 武志・野平 俊之・西 直哉,2回生以上,後期,火2,工学部専門科目,理工化学科,,2024
分析化学Ｉ（先端化学）［工化2・工化4］,作花 哲夫・安部 武志・野平 俊之・西 直哉,2回生以上,後期,火2,工学部専門科目,理工化学科,,2024
有機化学Ｉ（先端化学）,大江 浩一・中村 正治・生越 友樹,2回生以上,後期,月1,工学部専門科目,理工化学科,,2024
化学数学I（先端化学）,佐藤 徹・須田 理行,2回生以上,後期,木1,工学部専門科目,理工化学科,,2024
物理化学II（先端化学）,佐藤 啓文・水落 憲和・田中 隆行,3回生以上,前期,水1,工学部専門科目,理工化学科,,2024
有機化学II（先端化学）,杉野目 道紀・深澤 愛子・仙波 一彦,3回生以上,前期,水2,工学部専門科目,理工化学科,,2024
無機化学II（先端化学）［工化1・工化3］,安部 武志・大木 靖弘・松井 敏明・三木 康嗣・古川 修平・高津 浩・磯崎 勝弘・中田 明伸,3回生以上,前期,月2,工学部専門科目,理工化学科,,2024
無機化学II（先端化学）［工化2・工化4］,安部 武志・大木 靖弘・松井 敏明・三木 康嗣・古川 修平・高津 浩・磯崎 勝弘・中田 明伸,3回生以上,前期,月2,工学部専門科目,理工化学科,,2024
生化学I（先端化学）,森 泰生・跡見 晴幸・浜地 格・三木 裕明・佐藤 喬章・船戸 洋佑,3回生以上,前期,火1,工学部専門科目,理工化学科,,2024
高分子化学概論I（先端化学）,生越 友樹,3回生以上,前期,木2,工学部専門科目,理工化学科,,2024
有機化学III（先端化学）,近藤 輝幸・木村 祐・山本 武司,3回生以上,後期,火2,工学部専門科目,理工化学科,,2024
物理化学III（先端化学）,東口 顕士・東野 智洋,3回生以上,後期,火1,工学部専門科目,理工化学科,,2024
高分子化学概論II（先端化学）,梶 弘典・松宮 由実・志津 功將・鈴木 克明,3回生以上,後期,水2,工学部専門科目,理工化学科,,2024
化学統計力学（先端化学）,関 修平・須田 理行,4回生以上,前期,月2,工学部専門科目,理工化学科,,2024
先端機器分析科学（先端化学）,作花 哲夫・萩中 淳・稲田 康宏・垣内 隆,4回生以上,前期,水2,工学部専門科目,理工化学科,,2024
有機化学IV（先端化学）,村田 靖次郎・三木 康嗣,4回生以上,前期,金2,工学部専門科目,理工化学科,,2024
先端化学実験I（先端化学）,松田 建児・先端化学実験関連教員,3回生以上,前期,"火3,4,5,水3,4,5,木3,4,5",工学部専門科目,理工化学科,,2024
先端化学実験II（先端化学）,松田 建児・先端化学実験関連教員,3回生以上,後期,"火3,4,5,水3,4,5,木3,4,5",工学部専門科目,理工化学科,,2024
無機化学III（先端化学）,陰山 洋・高井 茂臣・水落 憲和・高津 浩,3回生以上,後期,金1,工学部専門科目,理工化学科,,2024
物理化学Ia（先端化学）,田中 隆行・井口 翔之,2回生以上,後期,水2,工学部専門科目,理工化学科,,2024
物理化学Ib（先端化学）,関 修平,2回生以上,後期,木2,工学部専門科目,理工化学科,,2024
科学英語（先端化学）［工化1・工化3］,森 泰生・寺村 謙太郎・三木 康嗣・BOLSTAD，Francesco,3回生以上,後期,月3,工学部専門科目,理工化学科,,2024
科学英語（先端化学）［工化2・工化4］,森 泰生・寺村 謙太郎・三木 康嗣・BOLSTAD，Francesco,3回生以上,後期,月4,工学部専門科目,理工化学科,,2024
分析化学II（先端化学）,安部 武志・梶 弘典・西 直哉・田村 朋則・中尾 章人・横山 悠子,3回生以上,前期,火2,工学部専門科目,理工化学科,,2024
特別研究（H18年以降入学者）,中村 洋,4回生以上,通年集中,集中講義,工学部専門科目,理工化学科,,2024
工業数学B1（T1・T2）,原田 英治,2回生以上,後期,水5,工学部専門科目,地球工学科,,2024
工業数学B1（T3・T4）,西藤 潤,2回生以上,後期,金3,工学部専門科目,地球工学科,,2024
工学倫理,市川 温・新津 葵一・関 修平・東口 顕士・伊勢田 哲治・清水 雄也・杉安 和憲・今堀 博・梅野 健・大﨑 純・高木 郁二・西脇 眞二・伊藤 禎彦・大和田 拓・須崎 純一・正直 花奈子・中川 雅之,4回生以上,前期,木3,工学部専門科目,,,2024
工学序論,"関 修平・鹿島 久嗣・神吉 紀世子・高橋 良和・木谷 哲夫・鈴木 基史・中村 祐司・石塚 師也・KOWHAKUL, Wasana",1回生以上,前期集中,集中講義,工学部専門科目,,,2024
工学部国際インターンシップ１,"KOWHAKUL, Wasana・本多 充",3回生以上,通年集中,集中講義,工学部専門科目,,,2024
グローバル・リーダーシップセミナー I (企業調査研究),平井 義和,2回生以上,通年集中,集中講義,工学部専門科目,,,2024
工学部国際インターンシップ２,"KOWHAKUL, Wasana・本多 充",3回生以上,通年集中,集中講義,工学部専門科目,,,2024
グローバル・リーダーシップセミナー II (イノベーションとその事業化),本多 充・平井 義和,2回生以上,後期集中,集中講義,工学部専門科目,,,2024
確率統計解析及び演習(T1),亀田 貴之・大下 和徹,2回生以上,前期,"火3,4",工学部専門科目,地球工学科,,2024
確率統計解析及び演習(T2),藤見 俊夫,2回生以上,前期,"火3,4",工学部専門科目,地球工学科,,2024
確率統計解析及び演習(T3),小林 草平,2回生以上,前期,"火3,4",工学部専門科目,地球工学科,,2024
確率統計解析及び演習(T4),廣井 慧,2回生以上,前期,"火3,4",工学部専門科目,地球工学科,,2024
構造力学Ｉ及び演習,北根 安雄,2回生以上,後期,"金1,2",工学部専門科目,地球工学科,,2024
構造力学Ｉ及び演習,杉浦 邦征,2回生以上,後期,"金1,2",工学部専門科目,地球工学科,,2024
構造力学Ｉ及び演習,八木 知己,2回生以上,後期,"金1,2",工学部専門科目,地球工学科,,2024
構造力学Ｉ及び演習,松宮 央登,2回生以上,後期,"金1,2",工学部専門科目,地球工学科,,2024
構造力学Ｉ及び演習,古川 愛子,2回生以上,後期,"金1,2",工学部専門科目,地球工学科,,2024
一般力学(T1・T2),松宮 央登,2回生以上,前期,月2,工学部専門科目,地球工学科,,2024
一般力学(T3・T4),林 為人・石塚 師也,2回生以上,前期,月4,工学部専門科目,地球工学科,,2024
環境生物・化学,越後 信哉・浅田 安廣,2回生以上,後期,火1,工学部専門科目,地球工学科,,2024
材料学,山本 貴士・高谷 哲,3回生以上,前期,月2,工学部専門科目,地球工学科,,2024
コンクリート工学,高橋 良和・山本 貴士・高谷 哲,3回生以上,後期,金2,工学部専門科目,地球工学科,,2024
水文学基礎,市川 温・立川 康人・中北 英一・佐山 敬洋・山口 弘誠・萬 和明,3回生以上,前期,火5,工学部専門科目,地球工学科,,2024
水資源工学,立川 康人・堀 智晴・KIM，SUNMIN,3回生以上,後期,水2,工学部専門科目,地球工学科,,2024
社会システム計画論,多々納 裕一・藤見 俊夫,3回生以上,前期,木1,工学部専門科目,地球工学科,,2024
都市・地域計画,松中 亮治・西垣 友貴,3回生以上,後期,月4,工学部専門科目,地球工学科,,2024
水質学,藤原 拓・田中 周平・西村 文武,3回生以上,前期,月2,工学部専門科目,地球工学科,,2024
上水道工学,伊藤 禎彦・越後 信哉・中西 智宏,3回生以上,後期,月2,工学部専門科目,地球工学科,,2024
下水道工学,藤原 拓・西村 文武・日髙 平・竹内 悠・野村 洋平,3回生以上,後期,月1,工学部専門科目,地球工学科,,2024
放射線衛生工学,島田 洋子,3回生以上,前期,火2,工学部専門科目,地球工学科,,2024
廃棄物工学,高岡 昌輝・平井 康宏,3回生以上,後期,月3,工学部専門科目,地球工学科,,2024
環境装置工学,高岡 昌輝・大下 和徹・原田 浩希,3回生以上,前期,水2,工学部専門科目,地球工学科,,2024
分離工学,楠田 啓・日下 英史,3回生以上,後期,木1,工学部専門科目,地球工学科,,2024
公共経済学,多々納 裕一・大西 正光,3回生以上,前期,木2,工学部専門科目,地球工学科,,2024
材料実験,山本 貴士・植村 佳大・高谷 哲,4回生以上,前期,"月3,4",工学部専門科目,地球工学科,,2024
水理実験(R1以前入学者),市川 温・後藤 仁志・立川 康人・原田 英治・川池 健司・山上 路生・森 信人・五十里 洋行・音田 慎一郎・志村 智也・山口 弘誠・萬 和明・清水 裕真・田中 智大・田﨑 拓海・小柴 孝太・宮下 卓也・山野井 一輝・山田 真史,3回生以上,後期,"木3,4",工学部専門科目,地球工学科,,2024
建築工学概論<地球>,荒木 慶一・西山 峰広・聲高 裕治・松島 信一,4回生以上,後期,月1,工学部専門科目,地球工学科,,2024
土質力学II及び演習,肥後 陽介・渦岡 良介・澤村 康生,3回生以上,前期,"水1,2",工学部専門科目,地球工学科,,2024
波動・振動学,五十嵐 晃・後藤 浩之,3回生以上,前期,月3,工学部専門科目,地球工学科,,2024
連続体の力学,後藤 仁志・肥後 陽介・清水 裕真,3回生以上,前期,火3,工学部専門科目,地球工学科,,2024
計画システム分析及び演習,藤井 聡・川端 祐一郎・藤見 俊夫・大庭 哲治・中尾 聡史・西垣 友貴,2回生以上,後期,"月1,2",工学部専門科目,地球工学科,,2024
土質実験及び演習,岸田 潔・渦岡 良介・後藤 浩之・岩井 裕正・澤村 康生・高井 敦史・橋本 涼太・上田 恭平・加藤 智大・三好 貴子,3回生以上,前期,"水3,4",工学部専門科目,地球工学科,,2024
大気・地球環境工学,藤森 真一郎・大城 賢,3回生以上,前期,月1,工学部専門科目,地球工学科,,2024
環境工学実験1,藤原 拓・田中 周平・西村 文武・日髙 平・竹内 悠・野村 洋平,3回生以上,前期,"月3,4,5",工学部専門科目,地球工学科,,2024
先端資源エネルギー工学,小池 克明・浜 孝之・福山 英一・藤本 仁・馬渕 守・村田 澄彦・林 為人・武川 順一・奈良 禎太,3回生以上,後期,金3,工学部専門科目,地球工学科,,2024
学外実習(土木工学コース),山口 敬太・松中 亮治,3回生以上,後期集中,集中講義,工学部専門科目,地球工学科,,2024
学外実習(環境工学コース),大下 和徹,3回生以上,後期集中,集中講義,工学部専門科目,地球工学科,,2024
空間情報学,須崎 純一・畑山 満則,3回生以上,後期,木2,工学部専門科目,地球工学科,,2024
構造実験・解析演習,杉浦 邦征・五十嵐 晃・北根 安雄・後藤 浩之・西藤 潤・古川 愛子・松宮 央登・植村 佳大・五井 良直・野口 恭平・松本 理佐,3回生以上,後期,"金4,5",工学部専門科目,地球工学科,,2024
耐震・耐風・設計論,杉浦 邦征・高橋 良和・八木 知己・後藤 浩之・野口 恭平・松本 理佐,3回生以上,後期,金3,工学部専門科目,地球工学科,,2024
地盤環境工学,勝見 武・渦岡 良介,3回生以上,後期,火2,工学部専門科目,地球工学科,,2024
交通マネジメント工学,藤井 聡・山田 忠史・川端 祐一郎,3回生以上,後期,月3,工学部専門科目,地球工学科,,2024
環境工学実験2,亀田 貴之・高岡 昌輝・大下 和徹・島田 洋子・原田 浩希・山本 浩平・五味 良太・安井 碧・池上 麻衣子,3回生以上,後期,"火3,4,5",工学部専門科目,地球工学科,,2024
波動工学,武川 順一・徐 世博,3回生以上,後期,月4,工学部専門科目,地球工学科,,2024
熱流体工学,藤本 仁,3回生以上,後期,金2,工学部専門科目,地球工学科,,2024
地殻海洋資源論,馬渕 守・楠田 啓,4回生以上,前期,月1,工学部専門科目,地球工学科,,2024
土質力学Ｉ及び演習,勝見 武・岸田 潔・肥後 陽介・安原 英明・岩井 裕正・高井 敦史・橋本 涼太・上田 恭平,2回生以上,後期,"火3,4",工学部専門科目,地球工学科,,2024
都市景観デザイン,川崎 雅史・山口 敬太・谷川 陸,3回生以上,後期,"火3,4",工学部専門科目,地球工学科,,2024
構造力学II及び演習(A班),高橋 良和,3回生以上,前期,"月4,5",工学部専門科目,地球工学科,,2024
構造力学II及び演習(B班),西藤 潤,3回生以上,前期,"月4,5",工学部専門科目,地球工学科,,2024
構造力学II及び演習(C班),五十嵐 晃,3回生以上,前期,"月4,5",工学部専門科目,地球工学科,,2024
流体力学,藤本 仁,3回生以上,前期,月3,工学部専門科目,地球工学科,,2024
物理化学,馬渕 守,3回生以上,前期,水3,工学部専門科目,地球工学科,,2024
工業数学B2(土木工学コース),古川 愛子,3回生以上,前期,金1,工学部専門科目,地球工学科,,2024
工業数学B2(資源工学コース),福山 英一,3回生以上,前期,火2,工学部専門科目,地球工学科,,2024
岩盤工学(土木工学コース),岸田 潔・安原 英明・橋本 涼太,3回生以上,後期,火1,工学部専門科目,地球工学科,,2024
岩盤工学(資源工学コース),林 為人・奈良 禎太,3回生以上,後期,火2,工学部専門科目,地球工学科,,2024
材料と塑性,浜 孝之・馬渕 守,3回生以上,後期,月3,工学部専門科目,地球工学科,,2024
社会基盤デザインＩ,宇野 伸宏・後藤 仁志・高橋 良和・高井 敦史,2回生以上,前期,木2,工学部専門科目,地球工学科,,2024
社会基盤デザインＩＩ,松中 亮治・山口 敬太,3回生以上,後期,火5,工学部専門科目,地球工学科,,2024
測量学及び実習(H27以降入学者),須崎 純一・畑山 満則・大庭 哲治・廣井 慧・中尾 聡史・田中 皓介・谷川 陸・石井 順恵,3回生以上,前期,"金2,3,4",工学部専門科目,地球工学科,,2024
科学英語（地球）（T1）,古川 愛子・Stephen Gill,2回生以上,前期,水4,工学部専門科目,地球工学科,,2024
科学英語（地球）（T1）,古川 愛子・Stephen Gill,2回生以上,前期,水5,工学部専門科目,地球工学科,,2024
科学英語（地球）（T2）,古川 愛子・Stephen Gill,2回生以上,前期,木4,工学部専門科目,地球工学科,,2024
科学英語（地球）（T2）,古川 愛子・Karin L. Swanson,2回生以上,前期,木3,工学部専門科目,地球工学科,,2024
科学英語（地球）（T3）,古川 愛子・Stephen Gill,2回生以上,後期,月4,工学部専門科目,地球工学科,,2024
科学英語（地球）（T3）,古川 愛子・Stephen Gill,2回生以上,後期,月5,工学部専門科目,地球工学科,,2024
科学英語（地球）（T4）,古川 愛子・Karin L. Swanson,2回生以上,後期,木4,工学部専門科目,地球工学科,,2024
科学英語（地球）（T4）,古川 愛子・Stephen Gill,2回生以上,後期,木3,工学部専門科目,地球工学科,,2024
資源情報解析学,小池 克明・柏谷 公希・武川 順一・石塚 師也・野口 奈々,4回生以上,前期,月4,工学部専門科目,地球工学科,,2024
固体の力学物性と破壊,村田 澄彦,3回生以上,後期,水2,工学部専門科目,地球工学科,,2024
弾性体の力学解析,村田 澄彦,3回生以上,前期,"月1,2",工学部専門科目,地球工学科,,2024
数値計算法及び演習,浜 孝之・福山 英一,3回生以上,後期,"月1,2",工学部専門科目,地球工学科,,2024
資源工学基礎実験,福山 英一・楠田 啓・武川 順一・奈良 禎太・石塚 師也・日下 英史・徐 世博・吉光 奈奈,3回生以上,前期,"木3,4,5",工学部専門科目,地球工学科,,2024
資源工学フィールド実習,小池 克明・柏谷 公希・武川 順一・野口 奈々・久保 大樹・陳 友晴,3回生以上,後期,"火3,4,5",工学部専門科目,地球工学科,,2024
地質工学,小池 克明・林 為人・柏谷 公希,3回生以上,前期,火3,工学部専門科目,地球工学科,,2024
資源工学入門,小池 克明・村田 澄彦・柏谷 公希,2回生以上,前期,月3,工学部専門科目,地球工学科,,2024
貯留層工学,村田 澄彦,4回生以上,前期,金2,工学部専門科目,地球工学科,,2024
社会防災工学,大西 正光・多々納 裕一・畑山 満則・矢守 克也・廣井 慧・藤見 俊夫,4回生以上,前期,月2,工学部専門科目,地球工学科,,2024
物理探査学,武川 順一・徐 世博,3回生以上,前期,火4,工学部専門科目,地球工学科,,2024
環境工学解析演習,越後 信哉・矢野 順也・山本 浩平・五味 良太・多田 悠人,3回生以上,後期,"金4,5",工学部専門科目,地球工学科,,2024
水理学I 及び演習,後藤 仁志・原田 英治・五十里 洋行・音田 慎一郎・清水 裕真・田﨑 拓海,2回生以上,後期,"水3,4",工学部専門科目,地球工学科,,2024
水理学II,後藤 仁志・原田 英治・山上 路生・音田 慎一郎・清水 裕真,3回生以上,前期,火4,工学部専門科目,地球工学科,,2024
河川・海岸工学,後藤 仁志・原田 英治・角 哲也・五十里 洋行・音田 慎一郎・小林 草平,3回生以上,後期,水1,工学部専門科目,地球工学科,,2024
水理実験(R2以降入学者),市川 温・後藤 仁志・立川 康人・原田 英治・川池 健司・山上 路生・森 信人・五十里 洋行・音田 慎一郎・志村 智也・山口 弘誠・萬 和明・清水 裕真・田中 智大・田﨑 拓海・小柴 孝太・宮下 卓也・山野井 一輝・山田 真史,3回生以上,後期,"木3,4",工学部専門科目,地球工学科,,2024
地球工学総論,後藤 仁志・古川 愛子,1回生以上,前期,水4,工学部専門科目,地球工学科,,2024
情報処理及び演習(T1),島田 洋子・矢野 順也,1回生以上,後期,木2,工学部専門科目,地球工学科,,2024
情報処理及び演習(T2),袴田 昌高・陳 友晴,1回生以上,後期,月1,工学部専門科目,地球工学科,,2024
情報処理及び演習(T3),澤村 康生・五井 良直,1回生以上,後期,月4,工学部専門科目,地球工学科,,2024
情報処理及び演習(T4),松中 亮治・五十里 洋行,1回生以上,後期,木4,工学部専門科目,地球工学科,,2024
地球工学基礎数理（T1）,市川 温・高橋 良和,2回生以上,前期,金1,工学部専門科目,地球工学科,,2024
地球工学基礎数理（T2）,澤村 康生・藤見 俊夫,2回生以上,前期,金1,工学部専門科目,地球工学科,,2024
地球工学基礎数理（T3）,田中 周平・平井 康宏,2回生以上,前期,金1,工学部専門科目,地球工学科,,2024
地球工学基礎数理（T4）,奈良 禎太・袴田 昌高,2回生以上,前期,金1,工学部専門科目,地球工学科,,2024
地球工学デザインA,川崎 雅史・高橋 良和・八木 知己・山口 敬太・長濱 伸貴・丹羽 信弘・八木 弘毅,4回生以上,前期,"火3,4",工学部専門科目,地球工学科,,2024
地球工学デザインB,小池 克明・浜 孝之・福山 英一・藤本 仁・馬渕 守・村田 澄彦・林 為人・柏谷 公希・楠田 啓・武川 順一・袴田 昌高・石塚 師也・野口 奈々・久保 大樹・日下 英史・小林 和弥・陳 友晴・吉光 奈奈,4回生以上,前期,"金3,4",工学部専門科目,地球工学科,,2024
地球工学デザインC,伊藤 禎彦・高岡 昌輝・越後 信哉・大下 和徹・中西 智宏・多田 悠人,4回生以上,前期,"水3,4",工学部専門科目,地球工学科,,2024
エネルギー工学入門,浜 孝之・馬渕 守・柏谷 公希・楠田 啓・武川 順一・袴田 昌高・久保 大樹・吉光 奈奈,2回生以上,後期,火2,工学部専門科目,地球工学科,,2024
資源工学材料実験,浜 孝之・馬渕 守・奈良 禎太・袴田 昌高・陳 友晴・宮澤 直己・吉光 奈奈,3回生以上,後期,"水3,4,5",工学部専門科目,地球工学科,,2024
基礎環境工学A,藤原 拓・伊藤 禎彦・越後 信哉・亀田 貴之・松井 康人,2回生以上,前期,金4,工学部専門科目,地球工学科,,2024
基礎環境工学B,高岡 昌輝・松田 知成・藤森 真一郎・島田 洋子,2回生以上,後期,金4,工学部専門科目,地球工学科,,2024
環境衛生学,松田 知成・山本 浩平・本田 晶子,3回生以上,前期,木1,工学部専門科目,地球工学科,,2024
Exercises in Infrastructure Design,AN，Lin,1回生以上,前期,"月1,木1",工学部専門科目,地球工学科,,2024
Fundamental Mechanics,AN，Lin,2回生以上,前期,月4,工学部専門科目,地球工学科,,2024
Prob. & Statistical Analysis & Exercises,KIM，SUNMIN,2回生以上,前期,"火3,4",工学部専門科目,地球工学科,,2024
Design for Infrastructure I,宇野 伸宏・高橋 良和・KHAYYER ABBAS・高井 敦史,2回生以上,前期,木3,工学部専門科目,地球工学科,,2024
Systems Analysis & Exe. for Plan. & Mng.,SCHMOECKER，Jan-Dirk,2回生以上,後期,"月1,2",工学部専門科目,地球工学科,,2024
Soil Mechanics I and Exercises,渦岡 良介・澤村 康生・ZHU Fan,2回生以上,後期,"火3,4",工学部専門科目,地球工学科,,2024
Engineering Mathematics B1,QURESHI，Ali Gul,2回生以上,後期,木2,工学部専門科目,地球工学科,,2024
Structural Mechanics I and Exercises,KIM Chul-Woo・AN，Lin・CHANG，Kai-Chun,2回生以上,後期,"金1,2",工学部専門科目,地球工学科,,2024
Dynamics of Soil and Structures,五十嵐 晃・後藤 浩之,3回生以上,前期,月2,工学部専門科目,地球工学科,,2024
Construction Materials,AN，Lin,3回生以上,前期,月1,工学部専門科目,地球工学科,,2024
Structural Mechanics II and Exercises,北根 安雄,3回生以上,前期,"月4,5",工学部専門科目,地球工学科,,2024
Continuum Mechanics,KHAYYER ABBAS・ZHU Fan・五十里 洋行,3回生以上,前期,火5,工学部専門科目,地球工学科,,2024
Fundamentals of Hydrology,市川 温・立川 康人・中北 英一・佐山 敬洋・山口 弘誠・萬 和明,3回生以上,前期,火3,工学部専門科目,地球工学科,,2024
Soil Mechanics II and Exercises,安原 英明・岩井 裕正・橋本 涼太・ZHU Fan,3回生以上,前期,"水1,2",工学部専門科目,地球工学科,,2024
Exp on Soil M & Ex,岸田 潔・渦岡 良介・後藤 浩之・岩井 裕正・上田 恭平・澤村 康生・高井 敦史・橋本 涼太・加藤 智大・三好 貴子,3回生以上,前期,"水3,4",工学部専門科目,地球工学科,,2024
Plan & Mng of S Sys,Cruz Ana Maria・QURESHI，Ali Gul・SCHMOECKER，Jan-Dirk,3回生以上,前期,木2,工学部専門科目,地球工学科,,2024
Engineering Mathematics B2,SCHMOECKER，Jan-Dirk,3回生以上,前期,金1,工学部専門科目,地球工学科,,2024
Public Economics,多々納 裕一・大西 正光,3回生以上,前期,木1,工学部専門科目,地球工学科,,2024
Urban and Regional Planning,QURESHI，Ali Gul,3回生以上,後期,月4,工学部専門科目,地球工学科,,2024
Transportation Management Engineering,SCHMOECKER，Jan-Dirk,3回生以上,後期,月3,工学部専門科目,地球工学科,,2024
Geoenvironmental Engineering,勝見 武・渦岡 良介,3回生以上,後期,火1,工学部専門科目,地球工学科,,2024
Rock Engineering,岸田 潔・安原 英明・ZHU Fan,3回生以上,後期,火2,工学部専門科目,地球工学科,,2024
Design for Infrastructure II,AN，Lin・松中 亮治,3回生以上,後期,火4,工学部専門科目,地球工学科,,2024
Water Resources Engineering,立川 康人・堀 智晴・KIM，SUNMIN,3回生以上,後期,水1,工学部専門科目,地球工学科,,2024
International Internship,松中 亮治,3回生以上,後期集中,集中講義,工学部専門科目,地球工学科,,2024
"E & WR of S, & RSDP",杉浦 邦征・高橋 良和・八木 知己・後藤 浩之・野口 恭平・松本 理佐,3回生以上,後期,金3,工学部専門科目,地球工学科,,2024
Concrete Engineering,AN，Lin,3回生以上,後期,水5,工学部専門科目,地球工学科,,2024
CP & Exp on Struct M,八木 知己・五十嵐 晃・北根 安雄・後藤 浩之・AN，Lin・西藤 潤・古川 愛子・松宮 央登・CHANG，Kai-Chun・植村 佳大・野口 恭平・松本 理佐,3回生以上,後期,"金4,5",工学部専門科目,地球工学科,,2024
Graduation Research,山本 貴士・山口 敬太,4回生以上,通年集中,集中講義,工学部専門科目,地球工学科,,2024
Hydraulics I and Exercises,後藤 仁志・KHAYYER ABBAS・志村 智也,2回生以上,後期,"水3,4",工学部専門科目,地球工学科,,2024
Hydraulics II,後藤 仁志・原田 英治・KHAYYER ABBAS・五十里 洋行・音田 慎一郎,3回生以上,前期,火4,工学部専門科目,地球工学科,,2024
River/Coastal Engineering,後藤 仁志・角 哲也・音田 慎一郎・KHAYYER ABBAS・小林 草平・清水 裕真,3回生以上,後期,水2,工学部専門科目,地球工学科,,2024
Experiments on Hydraulics(Enrolled after 2020),市川 温・後藤 仁志・立川 康人・原田 英治・川池 健司・山上 路生・森 信人・五十里 洋行・音田 慎一郎・志村 智也・山口 弘誠・萬 和明・清水 裕真・田中 智大・田﨑 拓海・小柴 孝太・宮下 卓也・山野井 一輝・山田 真史,3回生以上,後期,"木3,4",工学部専門科目,地球工学科,,2024
"Introduction to Civil, Environmental and Resources Eng",AN，Lin,1回生以上,前期,水4,工学部専門科目,地球工学科,,2024
"Computer Prg in Civil, Environmental and Resources Eng",ZHU Fan,1回生以上,後期,木5,工学部専門科目,地球工学科,,2024
特別研究(土木工学コース),山本 貴士・山口 敬太,4回生以上,通年集中,集中講義,工学部専門科目,地球工学科,,2024
特別研究(資源工学コース),村田 澄彦・奈良 禎太,4回生以上,通年集中,集中講義,工学部専門科目,地球工学科,,2024
特別研究(環境工学コース),松田 知成・大下 和徹,4回生以上,通年集中,集中講義,工学部専門科目,地球工学科,,2024
工業数学Ａ１,柴山 允瑠,2回生以上,後期,木2,工学部専門科目,情報学科,,2024
工業数学Ａ２,柴山 允瑠,3回生以上,前期,月2,工学部専門科目,情報学科,,2024
工業数学Ａ３,矢ヶ崎 一幸,3回生以上,前期,水1,工学部専門科目,情報学科,,2024
工学倫理,市川 温・新津 葵一・関 修平・東口 顕士・伊勢田 哲治・清水 雄也・杉安 和憲・今堀 博・梅野 健・大﨑 純・高木 郁二・西脇 眞二・伊藤 禎彦・大和田 拓・須崎 純一・正直 花奈子・中川 雅之,4回生以上,前期,木3,工学部専門科目,,,2024
工学序論,"関 修平・鹿島 久嗣・神吉 紀世子・高橋 良和・木谷 哲夫・鈴木 基史・中村 祐司・石塚 師也・KOWHAKUL, Wasana",1回生以上,前期集中,集中講義,工学部専門科目,,,2024
工学部国際インターンシップ１,"KOWHAKUL, Wasana・本多 充",3回生以上,通年集中,集中講義,工学部専門科目,,,2024
グローバル・リーダーシップセミナー I (企業調査研究),平井 義和,2回生以上,通年集中,集中講義,工学部専門科目,,,2024
工学部国際インターンシップ２,"KOWHAKUL, Wasana・本多 充",3回生以上,通年集中,集中講義,工学部専門科目,,,2024
グローバル・リーダーシップセミナー II (イノベーションとその事業化),本多 充・平井 義和,2回生以上,後期集中,集中講義,工学部専門科目,,,2024
量子物理学１（材原宇）〈情報〉,伊藤 秋男,3回生以上,前期,金2,工学部専門科目,情報学科,,2024
量子物理学２（材原宇）〈情報〉,伊藤 秋男,3回生以上,後期,火1,工学部専門科目,情報学科,,2024
エレクトロニクス入門（機宇）〈情報〉,粟野 皓光,2回生以上,前期,月4,工学部専門科目,情報学科,,2024
電子回路,杉山 和彦,2回生以上,前期,金2,工学部専門科目,情報学科,,2024
通信基礎論,原田 博司・水谷 圭一,3回生以上,前期,水1,工学部専門科目,情報学科,,2024
システム解析入門（数理）,森本 淳,2回生以上,後期,火2,工学部専門科目,情報学科,,2024
プログラミング言語（計算機）,五十嵐 淳,2回生以上,後期,月2,工学部専門科目,情報学科,,2024
計算機科学実験及演習２（計算機）,BRSCIC， Drazen・井上 昂治・丁 世堯・SEO Stela Hanbyeol・近藤 一晃・安戸 僚汰・和賀 正樹,2回生以上,後期,"火3,4",工学部専門科目,情報学科,,2024
数値解析,吉川 仁,2回生以上,後期,水3,工学部専門科目,情報学科,,2024
確率と統計,下平 英寿,3回生以上,前期,水2,工学部専門科目,情報学科,,2024
グラフ理論（計算機）,川原 純,2回生以上,後期,木4,工学部専門科目,情報学科,,2024
グラフ理論（数理）,原口 和也,2回生以上,前期,木2,工学部専門科目,情報学科,,2024
応用代数学,辻本 諭,3回生以上,後期,月2,工学部専門科目,情報学科,,2024
計算機科学実験及演習４（計算機）,BRSCIC， Drazen・井上 昂治・下西 慶・SEO Stela Hanbyeol・小谷 大祐,3回生以上,後期,"木3,4,金1,2,3,4",工学部専門科目,情報学科,,2024
アルゴリズム論,湊 真一,3回生以上,後期,木2,工学部専門科目,情報学科,,2024
現代制御論（数理）,加嶋 健司,4回生以上,前期,火2,工学部専門科目,情報学科,,2024
情報システム理論（数理）,田中 利幸,3回生以上,後期,木2,工学部専門科目,情報学科,,2024
論理システム（計算機）,湊 真一,2回生以上,前期,水2,工学部専門科目,情報学科,,2024
論理システム（数理）,福田 秀美,2回生以上,前期,水2,工学部専門科目,情報学科,,2024
解析力学（数理）,上原 恵理香,2回生以上,後期,水2,工学部専門科目,情報学科,,2024
線形制御理論,加嶋 健司,3回生以上,後期,水3,工学部専門科目,情報学科,,2024
