授業科目名,担当者名,配当学年,開講期,曜時限,群,学科,前身科目,年度
有機工業化学,藤原 哲晶・大江 浩一・跡見 晴幸・河瀬 元明・近藤 輝幸・蘆田 隆一・寺村 謙太郎,3回生以上,後期,水1,工学部専門科目,理工化学科,,2025
生物化学工学,跡見 晴幸・浜地 格・三木 裕明・高橋 重成・佐藤 喬章・船戸 洋佑・田村 朋則,3回生以上,後期,金2,工学部専門科目,理工化学科,,2025
環境保全概論,平井 康宏・中川 浩行・矢野 順也,3回生以上,前期,月1,工学部専門科目,理工化学科,,2025
環境安全化学,阿部 竜・中川 浩行・山本 浩平,3回生以上,後期,木1,工学部専門科目,理工化学科,,2025
移動現象,山本 量一,3回生以上,前期,火2,工学部専門科目,理工化学科,,2025
プロセス制御工学,外輪 健一郎・殿村 修,3回生以上,前期,水2,工学部専門科目,理工化学科,,2025
量子化学概論,佐藤 啓文,3回生以上,後期,月2,工学部専門科目,理工化学科,,2025
電気化学,安部 武志・宮原 雄人,4回生以上,前期,木2,工学部専門科目,理工化学科,,2025
有機分光学,田中 一生・廣瀬 崇至・山本 武司・大前 仁,4回生以上,前期,火2,工学部専門科目,理工化学科,,2025
触媒化学,阿部 竜・藤原 哲晶・跡見 晴幸・松井 敏明・中田 明伸,4回生以上,前期,水1,工学部専門科目,理工化学科,,2025
生化学II,三木 裕明・浜地 格・跡見 晴幸・佐藤 喬章・船戸 洋佑・窪田 亮・高橋 重成,3回生以上,後期,月1,工学部専門科目,理工化学科,,2025
微粒子工学,渡邉 哲・長嶺 信輔,3回生以上,後期,火1,工学部専門科目,理工化学科,,2025
プロセスシステム工学,外輪 健一郎・殿村 修,3回生以上,後期,木2,工学部専門科目,理工化学科,,2025
プロセス設計,外輪 健一郎・玉川 淳・殿村 修・化学プロセス工学コース関連教員,4回生以上,前期,金3,工学部専門科目,理工化学科,,2025
計算化学工学,前多 裕介・長嶺 信輔,3回生以上,前期,火3,工学部専門科目,理工化学科,,2025
化学実験の安全指針,中川 浩行・大前 仁・阿部 竜・田中 隆行・寺島 崇矢・山本 武司,4回生以上,前期集中,集中講義,工学部専門科目,理工化学科,,2025
化学工学シミュレーション,山本 量一・渡邉 哲,3回生以上,後期,火2,工学部専門科目,理工化学科,,2025
物理化学基礎及び演習［工化1],古賀 毅・古谷 勉,2回生以上,前期,火2,工学部専門科目,理工化学科,,2025
物理化学基礎及び演習［工化2］,寺村 謙太郎,2回生以上,前期,火2,工学部専門科目,理工化学科,,2025
物理化学基礎及び演習［工化3］,田辺 克明,2回生以上,前期,火2,工学部専門科目,理工化学科,,2025
物理化学基礎及び演習［工化4］,東野 智洋・廣瀬 崇至,2回生以上,前期,火2,工学部専門科目,理工化学科,,2025
有機化学基礎及び演習［工化1］,藤原 哲晶,2回生以上,前期,月1,工学部専門科目,理工化学科,,2025
有機化学基礎及び演習［工化2］,中尾 佳亮,2回生以上,前期,月1,工学部専門科目,理工化学科,,2025
有機化学基礎及び演習［工化3］,浜地 格・窪田 亮・田村 朋則,2回生以上,前期,月1,工学部専門科目,理工化学科,,2025
有機化学基礎及び演習［工化4］,山子 茂,2回生以上,前期,月1,工学部専門科目,理工化学科,,2025
基礎無機化学［T17，T18］,阿部 竜・高井 茂臣・田中 勝久,2回生以上,前期,金2,工学部専門科目,理工化学科,,2025
基礎無機化学［T19，T20］,三浦 清貴・松井 敏明・田中 勝久,2回生以上,前期,金2,工学部専門科目,理工化学科,,2025
基礎無機化学［T21，T22］,藤田 晃司・田中 勝久,2回生以上,前期,金2,工学部専門科目,理工化学科,,2025
化学プロセス工学基礎［T17，T18］,山本 量一・牧 泰輔・河瀬 元明,2回生以上,前期,木2,工学部専門科目,理工化学科,,2025
化学プロセス工学基礎［T19，T20］,河瀬 元明・蘆田 隆一・山本 量一,2回生以上,前期,木2,工学部専門科目,理工化学科,,2025
化学プロセス工学基礎［T21，T22］,中川 浩行・山本 量一・河瀬 元明,2回生以上,前期,木1,工学部専門科目,理工化学科,,2025
生命化学基礎,跡見 晴幸・三木 裕明・浜地 格・近藤 輝幸・沼田 圭司・今堀 博・永楽 元次,2回生以上,前期,火4,工学部専門科目,理工化学科,,2025
有機化学Ｉ（創成化学）,大宮 寛久,2回生以上,後期,月1,工学部専門科目,理工化学科,,2025
物理化学Ｉ（創成化学）,古賀 毅・古谷 勉,2回生以上,後期,水2,工学部専門科目,理工化学科,,2025
無機化学（創成化学）,三浦 清貴・下間 靖彦,2回生以上,後期,月2,工学部専門科目,理工化学科,,2025
分析化学（創成化学）,小山 宗孝・久保 拓也・野中 洋,2回生以上,後期,金2,工学部専門科目,理工化学科,,2025
高分子化学基礎Ｉ（創成化学）,大内 誠・井田 大地,2回生以上,後期,木2,工学部専門科目,理工化学科,,2025
有機化学II（創成化学）,杉安 和憲,3回生以上,前期,水2,工学部専門科目,理工化学科,,2025
生体関連物質化学（創成化学）,沼田 圭司・大前 仁,3回生以上,前期,火1,工学部専門科目,理工化学科,,2025
物理化学II（創成化学）,辻井 敬亘,3回生以上,前期,水1,工学部専門科目,理工化学科,,2025
高分子化学基礎II（創成化学）,堀中 順一・寺島 崇矢,3回生以上,前期,火2,工学部専門科目,理工化学科,,2025
統計熱力学入門（創成化学）,井田 大地,3回生以上,前期,月2,工学部専門科目,理工化学科,,2025
機器分析化学（創成化学）,小山 宗孝・久保 拓也・大塚 浩二,3回生以上,前期,金1,工学部専門科目,理工化学科,,2025
有機化学III（創成化学）,中尾 佳亮・佐々木 善浩,3回生以上,後期,火2,工学部専門科目,理工化学科,,2025
物理化学III（創成化学）,大北 英生・山本 俊介,3回生以上,後期,火1,工学部専門科目,理工化学科,,2025
最先端機器分析（創成化学）,小山 宗孝・大塚 浩二・野中 洋,3回生以上,後期,金1,工学部専門科目,理工化学科,,2025
化学のフロンティア（創成化学）,中尾 佳亮・小山 宗孝・竹中 幹人・三浦 清貴・田中 勝久・杉安 和憲・大内 誠・中村 洋・沼田 圭司,4回生以上,前期,"金3,4",工学部専門科目,理工化学科,,2025
化学生物学,永楽 元次・大串 雅俊,3回生以上,後期,木2,工学部専門科目,理工化学科,,2025
高分子化学Ｉ,大内 誠,3回生以上,後期,水1,工学部専門科目,理工化学科,,2025
化学数学（創成化学）,中村 洋・小川 紘樹,2回生以上,後期,火2,工学部専門科目,理工化学科,,2025
錯体化学（創成化学）,藤田 晃司・田中 勝久,3回生以上,後期,月1,工学部専門科目,理工化学科,,2025
高分子化学II,竹中 幹人・浦山 健治・小川 紘樹,3回生以上,後期,金2,工学部専門科目,理工化学科,,2025
創成化学実験Ⅰ（創成化学）,田中 一生・野中 洋・佐々木 善浩・寺島 崇矢・大前 仁・藤田 晃司・井田 大地・創成化学実験関連教員,3回生以上,前期,"火3,4,5,水3,4,5,木3,4,5",工学部専門科目,理工化学科,,2025
創成化学実験Ⅱ（創成化学）,田中 一生・野中 洋・佐々木 善浩・寺島 崇矢・大前 仁・藤田 晃司・井田 大地・創成化学実験関連教員,3回生以上,後期,"火3,4,5,水3,4,5,木3,4,5",工学部専門科目,理工化学科,,2025
科学英語（創成化学）［工化1・工化3］,田中 一生・John Pryce,3回生以上,前期,金3,工学部専門科目,理工化学科,,2025
科学英語（創成化学）［工化2・工化4］,田中 一生・John Pryce,3回生以上,前期,金4,工学部専門科目,理工化学科,,2025
グリーンケミストリー概論,生越 友樹・中田 明伸・SIVANIAH，Easan,3回生以上,前期,木1,工学部専門科目,理工化学科,,2025
化学数学II,佐藤 徹・水落 憲和,3回生以上,前期,金1,工学部専門科目,理工化学科,,2025
物理化学Ｉ（化学工学）,牧 泰輔,2回生以上,後期,水2,工学部専門科目,理工化学科,,2025
無機化学Ｉ（化学工学）,作花 哲夫・安部 武志・阿部 竜・野平 俊之・松井 敏明,2回生以上,後期,月2,工学部専門科目,理工化学科,,2025
化学工学数学Ｉ（化学工学）,長嶺 信輔・谷口 貴志,2回生以上,後期,木1,工学部専門科目,理工化学科,,2025
流体系分離工学,佐野 紀彰・渡邉 哲,3回生以上,前期,木1,工学部専門科目,理工化学科,,2025
