授業科目名,担当者名,配当学年,開講期,曜時限,群,学科,前身科目,年度
物理化学II（化学工学）,田辺 克明・鈴木 哲夫,3回生以上,前期,金2,工学部専門科目,理工化学科,,2025
化学工学数学II,谷口 貴志・前多 裕介,3回生以上,前期,金1,工学部専門科目,理工化学科,,2025
反応工学II,中川 浩行・河瀬 元明・蘆田 隆一,3回生以上,前期,月2,工学部専門科目,理工化学科,,2025
固相系分離工学,佐野 紀彰,3回生以上,後期,水2,工学部専門科目,理工化学科,,2025
物理化学III（化学工学）,山本 量一・田辺 克明,3回生以上,後期,火3,工学部専門科目,理工化学科,,2025
化学プロセス工学実験Ｉ（化学工学）,田辺 克明・蘆田 隆一・鈴木 哲夫・平出 翔太郎・MOLINA LOPEZ， John Jairo・殿村 修・村中 陽介・丸山 博之・藤墳 大裕・化学工学実験関連教員,3回生以上,前期,"木3,4,5,金3,4,5",工学部専門科目,理工化学科,,2025
化学プロセス工学実験II（化学工学）,田辺 克明・蘆田 隆一・鈴木 哲夫・平出 翔太郎・MOLINA LOPEZ， John Jairo・殿村 修・村中 陽介・丸山 博之・藤墳 大裕・化学工学実験関連教員,3回生以上,後期,"水3,4,5,木3,4,5",工学部専門科目,理工化学科,,2025
化学工学量論,河瀬 元明・牧 泰輔・村中 陽介,2回生以上,後期,水1,工学部専門科目,理工化学科,,2025
科学英語（化学工学）［工化1・工化3］,前多 裕介・John Pryce,3回生以上,後期,月3,工学部専門科目,理工化学科,,2025
科学英語（化学工学）［工化2・工化4］,前多 裕介・John Pryce,3回生以上,後期,月4,工学部専門科目,理工化学科,,2025
化学プロセス工学［W２０２（創成）］,佐野 紀彰・外輪 健一郎・渡邉 哲,2回生以上,後期,水1,工学部専門科目,理工化学科,,2025
化学プロセス工学［ＮＳ（先端）］,佐野 紀彰・外輪 健一郎・渡邉 哲,2回生以上,後期,水1,工学部専門科目,理工化学科,,2025
基礎流体力学,谷口 貴志,2回生以上,後期,火2,工学部専門科目,理工化学科,,2025
化学工学計算機演習,河瀬 元明・蘆田 隆一,2回生以上,後期,火4,工学部専門科目,理工化学科,,2025
反応工学Ｉ,中川 浩行・河瀬 元明,2回生以上,後期,金2,工学部専門科目,理工化学科,,2025
材料有機合成化学,山子 茂,3回生以上,後期,月2,工学部専門科目,理工化学科,,2025
高分子化学序論,中村 洋,2回生以上,前期,水2,工学部専門科目,理工化学科,,2025
Chem-E-Car設計・実験,佐野 紀彰,2回生以上,後期,"金3,4",工学部専門科目,理工化学科,,2025
無機化学Ｉ（先端化学）［工化1・工化3］,安部 武志・作花 哲夫・阿部 竜・野平 俊之・松井 敏明,2回生以上,後期,月2,工学部専門科目,理工化学科,,2025
無機化学Ｉ（先端化学）［工化2・工化4］,安部 武志・作花 哲夫・阿部 竜・野平 俊之・松井 敏明,2回生以上,後期,月2,工学部専門科目,理工化学科,,2025
分析化学Ｉ（先端化学）［工化1・工化3］,作花 哲夫・安部 武志・野平 俊之・西 直哉・佐藤 喬章,2回生以上,後期,火2,工学部専門科目,理工化学科,,2025
分析化学Ｉ（先端化学）［工化2・工化4］,作花 哲夫・安部 武志・野平 俊之・西 直哉・佐藤 喬章,2回生以上,後期,火2,工学部専門科目,理工化学科,,2025
有機化学Ｉ（先端化学）,大江 浩一・中村 正治・生越 友樹,2回生以上,後期,月1,工学部専門科目,理工化学科,,2025
化学数学I（先端化学）,佐藤 徹・春田 直毅,2回生以上,後期,木1,工学部専門科目,理工化学科,,2025
物理化学II（先端化学）,佐藤 啓文・水落 憲和・田中 隆行,3回生以上,前期,水1,工学部専門科目,理工化学科,,2025
有機化学II（先端化学）,杉野目 道紀・深澤 愛子・仙波 一彦,3回生以上,前期,水2,工学部専門科目,理工化学科,,2025
